keyword,title,date,url,content
China Japan,Japanese 'One Piece' singer stopped mid-show after China-Japan feud,2025-12-01T08:17:32.333Z,https://www.bbc.com/news/articles/c997n2zlegzo,"The abrupt cancellations of several Japanese music events in Shanghai - one of them midway through a song - have sparked criticism among fans, with some calling the moves ""rude"" and ""extreme"". Maki Otsuki was halfway through the theme of on Friday when the lights and music went off, after which she was rushed off stage by two crew members. On Saturday, pop star Ayumi Hamasaki performed to an empty 14,000-seat stadium after organisers axed her concert in Shanghai, citing ""force majeure"". This spate of cancellations come as fester over Japanese Prime Minister Sanae Takaichi's remarks on Taiwan. While responding to a question in parliament last month, Takaichi, known to be a vocal critic of China and its activities in the region, suggested that Tokyo could take military action if Beijing attacked Taiwan. Beijing views self-governed Taiwan as part of its territory and has not ruled out the use of force to ""reunite"" with it. Both sides have since lodged protests against each other, and the rift has also affected daily living in both countries. Otsuki's management attributed the interruption of her performance on Friday to ""unavoidable circumstances"". ""Other than the performance being cancelled, there were no particular problems, and the local staff were very kind and helpful,"" it wrote in a separate statement on Monday, in which it declined interviews on the matter. Her performance was part of a three-day music festival in Shanghai, for which subsequent events were also called off after ""comprehensively taking into consideration various factors"", according to Japan's Kyodo News. The BBC has reached out to Japanese entertainment company Bandai Namco, who is one of the organisers of the festival. Asked about the incident at a daily media conference on Monday, a spokesperson from Beijing's foreign ministry told reporters: ""I suggest you chat with the Chinese organisers."" Some of Otsuki's fans have made a meme comparing the shutting down of her performance with the of China's former leader Hu Jintao during a Communist Party meeting in October 2022. The meme went viral on social media, over the weekend, with some saying Ms Otsuki was given ""the Hu Jintao treatment"". On social media, some accused the Chinese authorities of taking away its own people's freedom to enjoy culture, in its attempts to sanction Japan. ""What's the point of turning the spearhead toward its own citizens?"" read an X post written in Japanese. ""Don't you care about the audience - they are after all Chinese, right?"" wrote a user on China's X-like platform Weibo. George Glass, the United States' ambassador to Japan, joined the conversation online. ""It's truly regrettable that there are people who can't feel the power of music,"" he wrote in an X post which also included a link to Journey's Don't Stop Believin'. ""Maki-san, Don't Stop Believin'—keep holding on to your convictions!"" he wrote. However the incident also fanned nationalist sentiments on Chinese social media, with some asking why the event was allowed in the first place given the diplomatic row. ""How could the event have gone on at a time when the whole nation is angry with Japan?"" a Weibo user wrote. Hamasaki, who was in Shanghai as part of her Asia tour, said she was suddenly asked on Friday to cancel her concert. The pop icon went ahead to perform to 14,000 empty seats as part of her appreciation for the ""people in the company, the Chinese staff, and the large Japanese family that fought through this tour"" she wrote on Instagram. ""I still strongly believe that entertainment should be a bridge that connects people, and I want to be on the side of creating that bridge,"" she wrote. Two weeks ago, Chinese state media announced that the releases of at least two popular Japanese anime films amid the diplomatic row."
China Japan,Japan movie releases postponed in China after Taiwan row,2025-11-18T03:46:10.752Z,https://www.bbc.com/news/articles/c93d08jg383o,"The releases of at least two popular Japanese films have been postponed in China amid a dispute over . The delayed releases include Cells at Work! and Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers, according to Chinese state media CCTV. Cinema tickets are still available for the hit Japanese animation Demon Slayer: Infinity Castle, the BBC has confirmed, but CCTV said sales in China had fallen recently as the row deepened. Takaichi, who has been a vocal critic of China and its activities in the region, suggested earlier this month that Tokyo could take military action if Beijing attacked Taiwan. Beijing views Taiwan - to which the government overthrown by China's communist revolution fled - as a breakaway province that must be reunited with the mainland. Film distributors and importers have decided to postpone the releases after reassessing the overall outlook of Japanese films in China and the sentiment among Chinese audiences, . Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers, which is an animated comedy about the adventures of a young boy and his friends, was due to be released in the coming weeks. Cells at Work! - which has also seen its release postponed - is a live action movie based on a manga about human blood cells fighting off viruses. CCTV did not say how long the films' releases will be delayed for. The state-controlled media outlet said Demon Slayer: Infinity Castle had faced ""strong dissatisfaction among Chinese audiences"" following Takaichi's remarks. The BBC has contacted the films' distributors, including Japanese media giant Toho. Takaichi told the Japanese parliament on 7 November: ""If there are battleships and the use of force, no matter how you think about it, it could constitute a survival-threatening situation."" Beijing has since urged its citizens to avoid travel to Japan and told students to reconsider studying there, citing safety risks. as investors weighed the impact of the China's response. China is a key source of tourism to Japan, with almost 7.5m visitors in the first nine months of this year. Beijing . It has not ruled out the use of force to achieve this goal. But many Taiwanese consider themselves to be part of a separate nation - although most are in support of keeping the status quo in which Taiwan neither declares independence from China nor unites with it."
China Japan,Japan tourism and retail stocks slide after row with China over Taiwan,2025-11-17T06:32:19.405Z,https://www.bbc.com/news/articles/c5y9n25r0qyo,"Japanese stocks related to tourism and retail fell on Monday after as Tokyo and Beijing remain locked in a row over Taiwan. Japan's Prime Minister Sanae Takaichi, who has been a vocal critic of China and its military activities in the region, suggested this month Tokyo could take military action if Beijing attacked Taiwan. Shares in Japanese department stores were hit hard, with the parent company of the Mitsukoshi and Isetan chains plunging by almost 12%. Other well-known brands like cosmetics company Shiseido also fell sharply. China has consistently ranked among the top sources of tourists visiting Japan. Shares in department store chain Takashimaya, and  the owner of global fashion chain Uniqlo closed more than 5% lower. Carriers Japan Airlines and ANA Holdings were also down. Shares in Oriental Land, the theme park company that runs the Tokyo Disney resort, ended the day 5.8% lower. The share price falls came after the dispute between Beijing and Tokyo has deepened in recent days. On Sunday, the Chinese government urged its citizens to reconsider studying in Japan, citing risks to their safety and a rise in crimes targeting Chinese people. also told students already based in Japan to closely monitor the security situation. Last year, more than 100,000 Chinese students were enrolled in educational institutions in Japan, according to a Japanese government survey. Also over the weekend, Chinese airlines - including China Southern Airlines, China Eastern Airlines, and Air China - offered refunds for flights to Japan. Takaichi said in the Japanese parliament on 7 November: ""If there are battleships and the use of force, no matter how you think about it, it could constitute a survival-threatening situation."" A ""survival-threatening situation"" is a legal term under Japan's 2015 security law, referring to when an armed attack on its allies presents an existential threat to Tokyo. In such a situation, Japan's self-defence forces can be called upon to respond to the threat. Taiwan lies just over 100km (62 miles) south of the closest Japanese island. A Kyodo news agency poll published on Sunday suggested that the Japanese public is split on whether the country should exercise its right to self-defence if Beijing attacks Taiwan. Chinese and Japanese officials are expected to hold talks on Tuesday. Chief cabinet secretary Minoru Kihara said that Beijing's moves are not in line with the ""broader direction confirmed between our leaders"" in promoting a mutually beneficial and stable relationship. that will, eventually, be part of the country, and has not ruled out the use of force to achieve this. But many Taiwanese consider themselves to be part of a separate nation - although most are in favour of maintaining the status quo where Taiwan neither declares independence from China nor unites with it."
China Japan,Chinese and Japanese boats face off near disputed islands as feud worsens,2025-12-02T07:26:10.130Z,https://www.bbc.com/news/articles/crk7xjpv8gmo,"China and Japan's coast guards have given different accounts of a confrontation that occurred near a group of geopolitically sensitive islands in the East China Sea. China's Coast Guard said on Tuesday that a Japanese fishing vessel had illegally entered the waters of the Diaoyu Islands - which Tokyo calls the Senkaku Islands. China claims them as their territory, despite the islands being administered by Japan. Japan's Coast Guard, meanwhile, said it intercepted and expelled two Chinese Coast Guard ships as they approached the fishing vessel. The confrontation comes as , after Japan's leader made controversial comments about Taiwan last month. While responding to a question in parliament in November, Japanese Prime Minister Sanae Takaichi, known to be a vocal critic of China and its activities in the region, suggested that Tokyo could take military action if Beijing attacked Taiwan. Beijing views self-governed Taiwan as part of its territory and has not ruled out the use of force to ""reunite"" with it. Both sides have since engaged in increasingly hostile rhetoric towards each other, with the widening rift affecting daily life for citizens in both countries. Taiwan is located about 160km south-west of the Senkaku Islands. China Coast Guard (CCG) spokesperson Liu Dejun said that Chinese vessels on Tuesday approached and warned off a Japanese fishing boat that had ""illegally entered the territorial waters of China's Diaoyu Dao"", according to a state media report. Liu added that the CCG took ""necessary law enforcement measures"", claiming that the islands were Chinese territory and urging Japan to ""immediately stop all acts of infringement and provocation in these waters"". The Japan Coast Guard (JCG) offered a slightly different account, saying they approached the Chinese vessels shortly after they were seen entering Japanese waters in the early hours of Tuesday and issued a demand that they leave the waters. The JCG's patrol ship ensured the fishing boat's safety until the CCG left the territory a few hours later, it said. While Japan and China made an in-principle agreement in 2008 to jointly exploit resources in the East China Sea, the waterway that separates the two countries, tensions have escalated over the past decade-and-a-half. The Senkaku/Diaoyu Islands, which are uninhabited, . China has sent an increasing number of ships towards the islands, in what appears to be an attempt to test Japan's resolve to defend them. Last year, the number of days Chinese government vessels were spotted in the territory hit a record high for the third consecutive year. There were also a record number of CCG vessels operating in the waters. Prior to the events of Tuesday morning, the CCG last entered the waters surrounding the Senkaku/Diaoyu Islands on 16 November, conducting what it described at the time as ""a lawful patrol operation conducted by the China coast guard to uphold its rights and interests""."
China Japan,What to know about China and Japan's escalating spat over Taiwan,2025-11-18T09:54:37.749Z,https://www.bbc.com/news/articles/crklvx2n7rzo,"China and Japan have been locked in an escalating row, set off by Japanese prime minister Sanae Takaichi's suggestion earlier this month that Japan could respond with its own self-defence force if China attacked Taiwan. In response, a Chinese diplomat made a comment which some interpreted as a threat to behead Takaichi. But what began as a war of words has now gone beyond barbs:  Both countries' foreign ministries have since lodged serious protests with each other. Japan has also warned its citizens to stay safe in China, while China urged its citizens to avoid travelling to Japan. Some Chinese airlines have even offered refunds for flights to Japan. The release of two popular Japanese films in China have also been postponed. The spat touches on the historical animosity between China and Japan, as well as longstanding ""strategic ambiguity"" on the sovereignty of self-governed Taiwan. Here's what you need to know about it: The current tensions were sparked at a parliamentary meeting in Japan on 7 November, when an opposition lawmaker asked Takaichi what circumstances surrounding Taiwan would count as a survival-threatening situation for Japan. ""If there are battleships and the use of force, no matter how you think about it, it could constitute a survival-threatening situation,"" Takaichi responded. A ""survival-threatening situation"" is a legal term under Japan's 2015 security law, referring to when an armed attack on its allies poses an existential threat to Japan. In such a situation, Japan's self-defence forces can be activated to respond to the threat. Takaichi's remarks drew immediate ire from Beijing, with China's foreign ministry describing them as ""egregious"". The following day, Xue Jian, China's consul general in the Japanese city of Osaka, reshared a news article about Takaichi's parliamentary remarks on X. But he also added his own comment that ""the dirty head that sticks itself in must be cut off"". While the intent of Xue's remarks ""may not be clear"", they were ""highly inappropriate"", aid Japan's chief cabinet secretary Minoru Kihara. Tokyo lodged protests with China over Xue's remarks, while Beijing lodged its own with Japan over Takaichi's. Xue's post has since been taken down - but the dust from the barbed exchanges hasn't settled yet. Takaichi has declined to retract her remarks, which she defended as ""consistent with the government's traditional position"". She did note, however, that she would be careful about commenting on specific scenarios from now on. Meanwhile, China has turned up the heat on Japan, summoning the Japanese ambassador and repeatedly demanding that Takaichi takes back her words. On social media, China's foreign ministry warned Japan to ""stop playing with fire"" and added that it would be an ""act of aggression"" if Japan ""dares to meddles in the cross-Strait situation"". China has urged its citizens ""to avoid travelling to Japan in the near future"" over what it called ""blatantly provocative remarks regarding Taiwan"". This could deal a blow to Japan's tourism industry, which is supported by millions of Chinese visitors every year. Japan's tourism and retail stocks have . For their part, Japanese authorities say their position of supporting ""peaceful resolution"" to issues on Taiwan ""has not changed"". They have also urged China to ""take appropriate action"" over Xue's social media post. This week, the releases of at least , with distributors citing ""sentiments of the domestic audience"", Chinese state media reported. Chinese state media CCTV added that cinema ticket sales for the hit Japanese animation Demon Slayer: Infinity Castle had also fallen recently. There is longstanding animosity between the two countries, which can be traced back to a series of armed conflicts in the 1800s and Japan's brutal military campaign in China during World War Two. This was brought up by a Chinese defence official last week, who said Japan would face ""crushing defeat"" by the Chinese military if it ""failed to draw lessons from history and dared to take reckless risks"". Historical grievances may have long been sore spots in bilateral relations, but the recent ascension of Takaichi, a protégé of the late former prime minister Shinzo Abe suggests more tensions may lie ahead. The conservative leader is pursuing closer ties with the US and has pledged to increase Japan's defence spending - raising some alarm in Beijing. Takaichi is also famously hawkish on China and a longtime supporter of Taiwan. She had previously said that a blockade of the island could threaten Japan, and that Japan could mobilise its troops to stop a Chinese invasion. China is especially touchy about Taiwan, the self-governed island that Beijing claims as part of its territory. China has not ruled out the use of force to take Taiwan - a posture that has unsettled Taipei and its allies in the region. Earlier this month, Beijing accused Takaichi of violating the one-China principle, after she posted photos of herself meeting a senior Taiwanese official on the sidelines of the Apec summit in South Korea. The Japanese prime minister's recent comments mark a departure from the equivocal position that the country has traditionally adopted on the status of Taiwan. This is in line with the policy of ""strategic ambiguity"" that the US has long maintained: remaining vague about what it would do to defend Taiwan in the event of a Chinese invasion. For decades, this ambiguity has kept China guessing - a form of deterrence - while leaving room for economic ties to flourish. The Japanese government's official stance is that it hopes the Taiwan issue can be resolved peacefully through dialogue - and Japanese officials have typically avoided mentioning Taiwan in public discussions about security. On the occasions where they have, they have been met with sharp rebuke from Beijing. In 2021, when then deputy prime minister Taro Aso said that Japan would need to defend Taiwan alongside the US in the event of an invasion, Beijing condemned his remarks and told Japan to ""correct its mistakes"". In this more recent flare-up, China's foreign ministry said that Takaichi's remarks were ""a gross interference in China's internal affairs"". ""Taiwan is China's Taiwan,"" ministry spokesperson Lin Jian told a press briefing on Monday, adding that China would not ""tolerate any foreign interference"" on the matter. ""What signal is the Japanese leader trying to send to 'Taiwan independence' separatist forces?"" he added. ""Is Japan up to challenge China's core interests and stop its reunification?"""
China Japan,Japanese 'One Piece' singer stopped mid-show after China-Japan feud,2025-12-01T08:17:32.333Z,https://www.bbc.com/news/articles/c997n2zlegzo,"The abrupt cancellations of several Japanese music events in Shanghai - one of them midway through a song - have sparked criticism among fans, with some calling the moves ""rude"" and ""extreme"". Maki Otsuki was halfway through the theme of on Friday when the lights and music went off, after which she was rushed off stage by two crew members. On Saturday, pop star Ayumi Hamasaki performed to an empty 14,000-seat stadium after organisers axed her concert in Shanghai, citing ""force majeure"". This spate of cancellations come as fester over Japanese Prime Minister Sanae Takaichi's remarks on Taiwan. While responding to a question in parliament last month, Takaichi, known to be a vocal critic of China and its activities in the region, suggested that Tokyo could take military action if Beijing attacked Taiwan. Beijing views self-governed Taiwan as part of its territory and has not ruled out the use of force to ""reunite"" with it. Both sides have since lodged protests against each other, and the rift has also affected daily living in both countries. Otsuki's management attributed the interruption of her performance on Friday to ""unavoidable circumstances"". ""Other than the performance being cancelled, there were no particular problems, and the local staff were very kind and helpful,"" it wrote in a separate statement on Monday, in which it declined interviews on the matter. Her performance was part of a three-day music festival in Shanghai, for which subsequent events were also called off after ""comprehensively taking into consideration various factors"", according to Japan's Kyodo News. The BBC has reached out to Japanese entertainment company Bandai Namco, who is one of the organisers of the festival. Asked about the incident at a daily media conference on Monday, a spokesperson from Beijing's foreign ministry told reporters: ""I suggest you chat with the Chinese organisers."" Some of Otsuki's fans have made a meme comparing the shutting down of her performance with the of China's former leader Hu Jintao during a Communist Party meeting in October 2022. The meme went viral on social media, over the weekend, with some saying Ms Otsuki was given ""the Hu Jintao treatment"". On social media, some accused the Chinese authorities of taking away its own people's freedom to enjoy culture, in its attempts to sanction Japan. ""What's the point of turning the spearhead toward its own citizens?"" read an X post written in Japanese. ""Don't you care about the audience - they are after all Chinese, right?"" wrote a user on China's X-like platform Weibo. George Glass, the United States' ambassador to Japan, joined the conversation online. ""It's truly regrettable that there are people who can't feel the power of music,"" he wrote in an X post which also included a link to Journey's Don't Stop Believin'. ""Maki-san, Don't Stop Believin'—keep holding on to your convictions!"" he wrote. However the incident also fanned nationalist sentiments on Chinese social media, with some asking why the event was allowed in the first place given the diplomatic row. ""How could the event have gone on at a time when the whole nation is angry with Japan?"" a Weibo user wrote. Hamasaki, who was in Shanghai as part of her Asia tour, said she was suddenly asked on Friday to cancel her concert. The pop icon went ahead to perform to 14,000 empty seats as part of her appreciation for the ""people in the company, the Chinese staff, and the large Japanese family that fought through this tour"" she wrote on Instagram. ""I still strongly believe that entertainment should be a bridge that connects people, and I want to be on the side of creating that bridge,"" she wrote. Two weeks ago, Chinese state media announced that the releases of at least two popular Japanese anime films amid the diplomatic row."
China Japan,Japan movie releases postponed in China after Taiwan row,2025-11-18T03:46:10.752Z,https://www.bbc.com/news/articles/c93d08jg383o,"The releases of at least two popular Japanese films have been postponed in China amid a dispute over . The delayed releases include Cells at Work! and Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers, according to Chinese state media CCTV. Cinema tickets are still available for the hit Japanese animation Demon Slayer: Infinity Castle, the BBC has confirmed, but CCTV said sales in China had fallen recently as the row deepened. Takaichi, who has been a vocal critic of China and its activities in the region, suggested earlier this month that Tokyo could take military action if Beijing attacked Taiwan. Beijing views Taiwan - to which the government overthrown by China's communist revolution fled - as a breakaway province that must be reunited with the mainland. Film distributors and importers have decided to postpone the releases after reassessing the overall outlook of Japanese films in China and the sentiment among Chinese audiences, . Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers, which is an animated comedy about the adventures of a young boy and his friends, was due to be released in the coming weeks. Cells at Work! - which has also seen its release postponed - is a live action movie based on a manga about human blood cells fighting off viruses. CCTV did not say how long the films' releases will be delayed for. The state-controlled media outlet said Demon Slayer: Infinity Castle had faced ""strong dissatisfaction among Chinese audiences"" following Takaichi's remarks. The BBC has contacted the films' distributors, including Japanese media giant Toho. Takaichi told the Japanese parliament on 7 November: ""If there are battleships and the use of force, no matter how you think about it, it could constitute a survival-threatening situation."" Beijing has since urged its citizens to avoid travel to Japan and told students to reconsider studying there, citing safety risks. as investors weighed the impact of the China's response. China is a key source of tourism to Japan, with almost 7.5m visitors in the first nine months of this year. Beijing . It has not ruled out the use of force to achieve this goal. But many Taiwanese consider themselves to be part of a separate nation - although most are in support of keeping the status quo in which Taiwan neither declares independence from China nor unites with it."
China Japan,Japan tourism and retail stocks slide after row with China over Taiwan,2025-11-17T06:32:19.405Z,https://www.bbc.com/news/articles/c5y9n25r0qyo,"Japanese stocks related to tourism and retail fell on Monday after as Tokyo and Beijing remain locked in a row over Taiwan. Japan's Prime Minister Sanae Takaichi, who has been a vocal critic of China and its military activities in the region, suggested this month Tokyo could take military action if Beijing attacked Taiwan. Shares in Japanese department stores were hit hard, with the parent company of the Mitsukoshi and Isetan chains plunging by almost 12%. Other well-known brands like cosmetics company Shiseido also fell sharply. China has consistently ranked among the top sources of tourists visiting Japan. Shares in department store chain Takashimaya, and  the owner of global fashion chain Uniqlo closed more than 5% lower. Carriers Japan Airlines and ANA Holdings were also down. Shares in Oriental Land, the theme park company that runs the Tokyo Disney resort, ended the day 5.8% lower. The share price falls came after the dispute between Beijing and Tokyo has deepened in recent days. On Sunday, the Chinese government urged its citizens to reconsider studying in Japan, citing risks to their safety and a rise in crimes targeting Chinese people. also told students already based in Japan to closely monitor the security situation. Last year, more than 100,000 Chinese students were enrolled in educational institutions in Japan, according to a Japanese government survey. Also over the weekend, Chinese airlines - including China Southern Airlines, China Eastern Airlines, and Air China - offered refunds for flights to Japan. Takaichi said in the Japanese parliament on 7 November: ""If there are battleships and the use of force, no matter how you think about it, it could constitute a survival-threatening situation."" A ""survival-threatening situation"" is a legal term under Japan's 2015 security law, referring to when an armed attack on its allies presents an existential threat to Tokyo. In such a situation, Japan's self-defence forces can be called upon to respond to the threat. Taiwan lies just over 100km (62 miles) south of the closest Japanese island. A Kyodo news agency poll published on Sunday suggested that the Japanese public is split on whether the country should exercise its right to self-defence if Beijing attacks Taiwan. Chinese and Japanese officials are expected to hold talks on Tuesday. Chief cabinet secretary Minoru Kihara said that Beijing's moves are not in line with the ""broader direction confirmed between our leaders"" in promoting a mutually beneficial and stable relationship. that will, eventually, be part of the country, and has not ruled out the use of force to achieve this. But many Taiwanese consider themselves to be part of a separate nation - although most are in favour of maintaining the status quo where Taiwan neither declares independence from China nor unites with it."
China Japan,Chinese and Japanese boats face off near disputed islands as feud worsens,2025-12-02T07:26:10.130Z,https://www.bbc.com/news/articles/crk7xjpv8gmo,"China and Japan's coast guards have given different accounts of a confrontation that occurred near a group of geopolitically sensitive islands in the East China Sea. China's Coast Guard said on Tuesday that a Japanese fishing vessel had illegally entered the waters of the Diaoyu Islands - which Tokyo calls the Senkaku Islands. China claims them as their territory, despite the islands being administered by Japan. Japan's Coast Guard, meanwhile, said it intercepted and expelled two Chinese Coast Guard ships as they approached the fishing vessel. The confrontation comes as , after Japan's leader made controversial comments about Taiwan last month. While responding to a question in parliament in November, Japanese Prime Minister Sanae Takaichi, known to be a vocal critic of China and its activities in the region, suggested that Tokyo could take military action if Beijing attacked Taiwan. Beijing views self-governed Taiwan as part of its territory and has not ruled out the use of force to ""reunite"" with it. Both sides have since engaged in increasingly hostile rhetoric towards each other, with the widening rift affecting daily life for citizens in both countries. Taiwan is located about 160km south-west of the Senkaku Islands. China Coast Guard (CCG) spokesperson Liu Dejun said that Chinese vessels on Tuesday approached and warned off a Japanese fishing boat that had ""illegally entered the territorial waters of China's Diaoyu Dao"", according to a state media report. Liu added that the CCG took ""necessary law enforcement measures"", claiming that the islands were Chinese territory and urging Japan to ""immediately stop all acts of infringement and provocation in these waters"". The Japan Coast Guard (JCG) offered a slightly different account, saying they approached the Chinese vessels shortly after they were seen entering Japanese waters in the early hours of Tuesday and issued a demand that they leave the waters. The JCG's patrol ship ensured the fishing boat's safety until the CCG left the territory a few hours later, it said. While Japan and China made an in-principle agreement in 2008 to jointly exploit resources in the East China Sea, the waterway that separates the two countries, tensions have escalated over the past decade-and-a-half. The Senkaku/Diaoyu Islands, which are uninhabited, . China has sent an increasing number of ships towards the islands, in what appears to be an attempt to test Japan's resolve to defend them. Last year, the number of days Chinese government vessels were spotted in the territory hit a record high for the third consecutive year. There were also a record number of CCG vessels operating in the waters. Prior to the events of Tuesday morning, the CCG last entered the waters surrounding the Senkaku/Diaoyu Islands on 16 November, conducting what it described at the time as ""a lawful patrol operation conducted by the China coast guard to uphold its rights and interests""."
China Japan,What to know about China and Japan's escalating spat over Taiwan,2025-11-18T09:54:37.749Z,https://www.bbc.com/news/articles/crklvx2n7rzo,"China and Japan have been locked in an escalating row, set off by Japanese prime minister Sanae Takaichi's suggestion earlier this month that Japan could respond with its own self-defence force if China attacked Taiwan. In response, a Chinese diplomat made a comment which some interpreted as a threat to behead Takaichi. But what began as a war of words has now gone beyond barbs:  Both countries' foreign ministries have since lodged serious protests with each other. Japan has also warned its citizens to stay safe in China, while China urged its citizens to avoid travelling to Japan. Some Chinese airlines have even offered refunds for flights to Japan. The release of two popular Japanese films in China have also been postponed. The spat touches on the historical animosity between China and Japan, as well as longstanding ""strategic ambiguity"" on the sovereignty of self-governed Taiwan. Here's what you need to know about it: The current tensions were sparked at a parliamentary meeting in Japan on 7 November, when an opposition lawmaker asked Takaichi what circumstances surrounding Taiwan would count as a survival-threatening situation for Japan. ""If there are battleships and the use of force, no matter how you think about it, it could constitute a survival-threatening situation,"" Takaichi responded. A ""survival-threatening situation"" is a legal term under Japan's 2015 security law, referring to when an armed attack on its allies poses an existential threat to Japan. In such a situation, Japan's self-defence forces can be activated to respond to the threat. Takaichi's remarks drew immediate ire from Beijing, with China's foreign ministry describing them as ""egregious"". The following day, Xue Jian, China's consul general in the Japanese city of Osaka, reshared a news article about Takaichi's parliamentary remarks on X. But he also added his own comment that ""the dirty head that sticks itself in must be cut off"". While the intent of Xue's remarks ""may not be clear"", they were ""highly inappropriate"", aid Japan's chief cabinet secretary Minoru Kihara. Tokyo lodged protests with China over Xue's remarks, while Beijing lodged its own with Japan over Takaichi's. Xue's post has since been taken down - but the dust from the barbed exchanges hasn't settled yet. Takaichi has declined to retract her remarks, which she defended as ""consistent with the government's traditional position"". She did note, however, that she would be careful about commenting on specific scenarios from now on. Meanwhile, China has turned up the heat on Japan, summoning the Japanese ambassador and repeatedly demanding that Takaichi takes back her words. On social media, China's foreign ministry warned Japan to ""stop playing with fire"" and added that it would be an ""act of aggression"" if Japan ""dares to meddles in the cross-Strait situation"". China has urged its citizens ""to avoid travelling to Japan in the near future"" over what it called ""blatantly provocative remarks regarding Taiwan"". This could deal a blow to Japan's tourism industry, which is supported by millions of Chinese visitors every year. Japan's tourism and retail stocks have . For their part, Japanese authorities say their position of supporting ""peaceful resolution"" to issues on Taiwan ""has not changed"". They have also urged China to ""take appropriate action"" over Xue's social media post. This week, the releases of at least , with distributors citing ""sentiments of the domestic audience"", Chinese state media reported. Chinese state media CCTV added that cinema ticket sales for the hit Japanese animation Demon Slayer: Infinity Castle had also fallen recently. There is longstanding animosity between the two countries, which can be traced back to a series of armed conflicts in the 1800s and Japan's brutal military campaign in China during World War Two. This was brought up by a Chinese defence official last week, who said Japan would face ""crushing defeat"" by the Chinese military if it ""failed to draw lessons from history and dared to take reckless risks"". Historical grievances may have long been sore spots in bilateral relations, but the recent ascension of Takaichi, a protégé of the late former prime minister Shinzo Abe suggests more tensions may lie ahead. The conservative leader is pursuing closer ties with the US and has pledged to increase Japan's defence spending - raising some alarm in Beijing. Takaichi is also famously hawkish on China and a longtime supporter of Taiwan. She had previously said that a blockade of the island could threaten Japan, and that Japan could mobilise its troops to stop a Chinese invasion. China is especially touchy about Taiwan, the self-governed island that Beijing claims as part of its territory. China has not ruled out the use of force to take Taiwan - a posture that has unsettled Taipei and its allies in the region. Earlier this month, Beijing accused Takaichi of violating the one-China principle, after she posted photos of herself meeting a senior Taiwanese official on the sidelines of the Apec summit in South Korea. The Japanese prime minister's recent comments mark a departure from the equivocal position that the country has traditionally adopted on the status of Taiwan. This is in line with the policy of ""strategic ambiguity"" that the US has long maintained: remaining vague about what it would do to defend Taiwan in the event of a Chinese invasion. For decades, this ambiguity has kept China guessing - a form of deterrence - while leaving room for economic ties to flourish. The Japanese government's official stance is that it hopes the Taiwan issue can be resolved peacefully through dialogue - and Japanese officials have typically avoided mentioning Taiwan in public discussions about security. On the occasions where they have, they have been met with sharp rebuke from Beijing. In 2021, when then deputy prime minister Taro Aso said that Japan would need to defend Taiwan alongside the US in the event of an invasion, Beijing condemned his remarks and told Japan to ""correct its mistakes"". In this more recent flare-up, China's foreign ministry said that Takaichi's remarks were ""a gross interference in China's internal affairs"". ""Taiwan is China's Taiwan,"" ministry spokesperson Lin Jian told a press briefing on Monday, adding that China would not ""tolerate any foreign interference"" on the matter. ""What signal is the Japanese leader trying to send to 'Taiwan independence' separatist forces?"" he added. ""Is Japan up to challenge China's core interests and stop its reunification?"""
