id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239177855897020,Qgrc5oK5e,6343645584,黄埔晨曦,“台湾绝对会回归”祖国！这是从4岁女孩嘴里说出来的话，接下来的话，让你更不敢相信，这孩子简直是哪位大师附体了。4岁女孩小满，在那傻坐着不说话，妈妈问她：你想什么？孩子兴致勃勃地回答：我在想台湾。妈妈：你没事干，想他干啥？跟你有关系吗？小满：你不懂你别说，你可以选择闭嘴，你看咱这家没有窗户，没有门，没有梁，没有墙能行不？少哪一个能中啊？母亲：你想表达啥？小满：台湾从来不是外来的补丁，从盖房的那天起就规划好了一部分，少了他这个家就不完整，这日子就少了安心和踏实，要是有人要拆咱家门和窗户你愿意？母亲：我不愿意啊。小满：你是不是拼命护着呀？我在跟你说哈，有人卸你的胳膊腿你愿意不？母亲：我都愿意呀，卸我的胳膊头都愿意，母亲故意说。小满：惊讶的表现，身体发肤，受之父母，不可损伤。咱这个国家，就像一个完整的身体，重要的器官，永远是中国的一部分，就像十个手指头一样，十指连心，缺一不可，少一个都会影响他的使用功能，少一个手指头，让整个身体感到疼痛。最该认清的是，手指头不是外来的假肢，身体天生就有一部分，任何试图将台湾从中国分割出去，这个行为，如同强行，剥离身体里的重要器官，维护台湾与大陆的完整，是所有中华儿女的共同责任。人生自古谁无死，留取丹心照汗青。单丝不成线，独木不成林。大河有水小河满，一花独放不是春，百花齐放满春园。母亲：你说的啥？小满：我说的你听不懂，早晚实现统一。有人卸你胳膊腿了，你都知道咋回事了。你敢相信吗？这是从4岁孩子口里说出来的话吗？我要没亲眼看视频，我也不会相信的。这个4岁的孩子不是一般的孩子，超出成人的想象力，高学历的人也不一定有这种思维逻辑，简直就是那位大师附体了，孩子长大，将来肯定是一位了不起的大人物。长知识了，真的很佩服啊！,,,,,0,0,0,2025-12-01 22:53,iPhone客户端,https://wx3.sinaimg.cn/large/006Vji0ggy1i7vscz4uo5j30zk1bf4ev.jpg,,,,普通用户,非会员,0
5239177199485987,Qgrb1DNJN,1499104401,新浪军事,中国大陆对台湾掌握的清清楚楚，高志凯：你“台独”分子千万别自以为是！L新浪军事的微博视频,,,,,3,4,12,2025-12-01 22:50,微博视频号,,"http://f.video.weibocdn.com/o0/CZteP2Kplx08tpSOsq2I010412005VsF0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765163110&ssig=AjoyMH9MDp&KID=unistore,video",,,蓝V,超级会员,1
5239176475709881,Qgr9RnXoR,6735616552,如何呢那咋了你管我,借着酒劲抒发出来……就像雨滴落入蔚蓝海水泛起一层层涟漪该怎么形容这一刻被融合的感受呢是上台演讲临场发挥的勇敢是和台湾朋友一起吃饭潜水的兴奋是和各国朋友欢聚一堂BBQ的雀跃是和师兄一起嗨唱中国名曲的恣肆是看到大家一起帮我寻找书包和钥匙的感动是夜晚和樱花妹一起偷跑天台看星星的刺激想要奋力保存这份回忆但奈何文字图片太过单薄描不出心跳的纹路留不住此刻的万分之一,,日本·瀬底島,,,0,0,5,2025-12-01 22:47,iPhone 16 Pro,"https://wx2.sinaimg.cn/large/007lPXyEgy1i7vs6bz8mfj30q07psb2a.jpg,https://wx1.sinaimg.cn/large/007lPXyEgy1i7vs7anpa6j30u1141n77.jpg,https://wx3.sinaimg.cn/large/007lPXyEgy1i7vs6s79d5j30u0140gzh.jpg,https://wx2.sinaimg.cn/large/007lPXyEgy1i7vs663henj30u03bvx38.jpg,https://wx3.sinaimg.cn/large/007lPXyEgy1i7vs6l7dazj30u0140k7q.jpg,https://wx2.sinaimg.cn/large/007lPXyEgy1i7vs6mkfk9j30u0140qcg.jpg,https://wx3.sinaimg.cn/large/007lPXyEgy1i7vs7kjs45j30u0140wni.jpg,https://wx3.sinaimg.cn/large/007lPXyEgy1i7vs7uxi8rj30q27ps7wi.jpg,https://wx4.sinaimg.cn/large/007lPXyEgy1i7vs6i878gj30qdcmqe82.jpg",,,,普通用户,会员,3
5239164316682799,QgqQfs2v5,6103669479,圣诞女人的美丽家园,北京到台湾只需六小时，中国基建创世界第一OPC创…戳我查看完整笔记>>O网页链接更多大司马谈科技发布的笔记都在#小红书#，立刻下载App：O应用详情,,,,小红书,0,0,0,2025-12-01 21:59,iPhone客户端,https://wx4.sinaimg.cn/large/006F4nfVly1i7vqtms8myj30u0140wl9.jpg,,,,普通用户,非会员,0
5239163394726967,QgqOLjPHp,5559328070,望远2016_97825,我的徒步中国之：截止2025年12月1日各省(市、自治区)徒步里程数据徒步中国梦，一步步梦圆！七十又一，志气尚满。心系中国，看我河山。提囊在手，背包上肩。身动挥汗，心静安然。自撰七律，书法面献。征途漫漫，愈挫愈坚！初心永在，追梦向前！各省(市、自治区)徒步里程数据(截止2025年12月1日)1.海南省：526公里（三沙市待走）；2.广东省：1062公里；3.黑龙江省：1158公里；4.福建省：944公里；5.浙江省：1516公里；6.吉林省：965公里；7.辽宁省：1646公里；8.江西省：1485公里；9.湖南省：1959公里；10.内蒙古自治区：1621公里；11.重庆市：453公里；12.西藏自治区：1312公里；13.青海省：751公里；14.甘肃省：1476公里；15.宁夏回族自治区：603公里；16.四川省：2245公里；17.新疆维吾尔自治区：2228公里；18.贵州省：1435公里；19.云南省:2374公里；20.广西壮族自治区：1484公里;21.湖北省：1863公里；22.陕西省：1206公里；23.安徽省：1363公里；24.山西省：1102+19＝1121公里总累计徒步32774+19＝32793公里(2015年4月7日始实施徒步中国计划)附：（1）2025年12月1日徒步记录（2）尚未完成的行政区尚未完成的行政区687个2025.12.1（更新）：河北省，179北京市，17，196天津市，17，213山东省，153，366河南省，175，541江苏省，108，649上海市，17，666山西省，21，68723-2＝21689-2＝687（总数）以下不包括在总数内：香港特别行政区，全部澳门特别行政区，全部台湾省，全部,,忻州·岢岚,,,0,0,0,2025-12-01 21:55,OPPO A92s,,,,,普通用户,非会员,0
5239161843616873,QgqMgfaUF,7802757057,骷髅猫教主,《沉默的荣耀》中，窦公馆的太太们以《牡丹亭》中的游园选段为乐，她们的表演虽只是几个简单的动作和口型，却展现出了非凡的韵味。然而，仔细观察可以发现，尽管她们努力模仿，但似乎都未能达到专业大师的水平，反而显得有些生硬和不自然。这不禁让人思考，这些太太们在私下里是如何自娱自乐，又是如何坚持自己作为中国人的身份呢？在剧中，侦防组长谷正文和黎晴在讲话时，经常以“我们中国人……”开头，表达了他们对台湾始终是中国领土的坚定立场。这种表态不仅是对外界的一种宣言，更是对内部的一种激励和鼓舞。通过这样的表现，我们可以感受到太太们内心深处的自豪感和归属感。总的来说，《沉默的荣耀》通过描绘太太们的表演和言论，展现了她们对中国文化和身份的认同与坚守。同时，这也提醒我们，无论身处何种环境，都应该保持对自己文化的自信和热爱。L骷髅猫教主的微博视频,,,,,10,1,11,2025-12-01 21:49,微博视频号,,"http://f.video.weibocdn.com/o0/rP46czjulx08tpOCqRva01041200atS80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765163131&ssig=RpUoEVLJ1o&KID=unistore,video",,,红V,超级会员,1
5239161826053859,QgqMepoST,2215569593,Miss汉谟拉比,于佩尔今年最喜欢的台影《左撇子女孩》，讲了什么？之前看一个截图说于佩尔称今年最喜欢的中国台湾电影是《左撇子女孩》，上线后很快去看了，我觉得这个电影基本能解释为什么台湾影视剧总是呈现出又新又旧的割裂感，一方面她们敢想敢做，思想先锋，一方面最后又要回归到结婚生子以及父权原谅的起点。这部电影好就好在讲了三代女性的故事，但是没有老套的互相救赎，她们揭开了“难以启齿”的秘密后，反而好像相安无事地共存了，但是同样陈旧也陈旧在，问题仍然指向土壤，而没有突破。我在看的时候想，这样的高饱和色调以及绚丽到廉价的色彩，类似胶片的画质，怎么有种《弗罗里达乐园》的感觉，姐姐宜安以身体为载体去惩罚自己与规训，也表明态度，也有一种看《阿诺拉》的似曾相识感，一看果然肖恩贝克参与了编剧，而且电影是用iPhone13Pro拍摄，手持跟拍宜静穿梭夜市的镜头，赋予影像粗粝的呼吸感，这就是肖恩贝克喜欢的呀。不过本片更注重东亚市井的空间纵深感。总体来说，看完后觉得是一部喜欢的电影，可以打7.5分。介绍一下电影（大反转不会剧透），淑芬（蔡淑臻饰）带着大女儿宜安（马士媛饰）和小女儿宜静（叶子绮饰）从乡下重返台北。宜静说泡面真好吃啊，好希望一直吃泡面，宜安给她讲有人吃泡面死掉的恐怖故事，这一幕也是很典型的肖恩贝克的叙事方式，从儿童天真视角讲述成年人的心酸。淑芬为谋生咬牙租下夜市小吃摊，但经济压力接踵而至，她那个曾经富有而后负债跑路十几年，把债务以及家庭所有重负全都丢给她的前夫得了绝症。所有人都让她不要管这个不负责任的负心汉，但是她拿出十五万给他治病，甚至给他送终。她自己却没钱交租，受到市场大叔的苛责。看，这就是规训在一个人身上不动声色的力量，让你时刻剥夺自己，也要臣服于这种意识。后续通过同学之口我们才知道，大女儿宜安高中时成绩全校前三，又是校园女神，却因为父亲跑路不得不中途辍学，而后她开始放逐自己，完全以身体为载体去报复世界。她没有读完高中，也没有上大学，只能在槟榔摊，却被要求穿着暴露且行为擦边。而后与欺骗她已经离婚的老板阿明成为情侣，但阿明完全不尊重她，一边剥削她的性价值，一边剥削她的劳动价值，一边还没有起码的忠贞。而后阿明的太太打上门，不怪自己朝三暮四的丈夫，而是打骂宜安勾引她的老公。二人得知宜安怀孕后，又跑到宜安外婆的寿宴上大闹，要求宜安生一个男孩给他们家，因为他们只有女儿，没有儿子。宜安呵斥他们，而后寿宴上，当着所有亲戚的面爆出一个惊天秘密。不过根据剧情走向，其实很好猜，大概是一个没有权谋的却还有一些愚昧温情的血观音。小女儿宜静超级天真可爱，她幼儿园放学后就来妈妈面摊帮忙，她的眼睛又大又明亮，嘴巴也甜，对世界充满好奇，但是她的被动之处也在于好奇，由于她对世界一无所知，所以很容易照单全收外来所有的信息，无论是温暖的，还是可怖的。比如她因为是特殊的左撇子，被外公嫌弃，毕竟大家都是右撇子啊。外公告诉她，你不要用左手，这是魔鬼的手。后来她开始去盗窃，甚至意外扔球让一个狐獴死掉，她对自己说，这不是我的错，这是我的魔鬼的手做的。直到宜安发现这一点，她马上找到外公，要求他澄清，这不是魔鬼的手，去掉污染的信息源，而后带着她归还她盗窃的东西，给每个店主道歉。大家都和和气气安慰她，世界这一刻好温柔，好多彩啊，隔着屏幕都能感受到台湾夏日的晚风。外婆有三个女儿，一个儿子，她跟外公退休后，她还在做违法的事情补贴家用（这里有很强的政治不正确，这样的电影夹带这样的政治私货，很烦），而外公一直到电影快要结束时，才能看清他的脸，原来是《老狐狸》里的老狐狸。他代表着父权与男权，却只是苍老孱弱无知以及固执的形象，虽然他什么也不是，什么价值也没创造，但却一直存在，到处都是。外婆自顾自把答应给三个女儿的房子，全都给了儿子，平时儿子来要钱，也是要多少都给。儿子倨傲地称呼自己是公司创始人，但全部资金全都是来自母亲，自己什么也没创造，却还看不起任何人，甚至连母亲六十大寿的费用都不肯出，三个姐姐也默认不需要他出，只有淑芬抗争了一下，但并没有效果。淑芬已经穷到完全交不起租了，来找母亲借钱，她却一毛钱也不肯借，淑芬绝望地说。是不是弟弟来借，你就会给？母亲说，当然啊，嫁出去的女儿泼出去的水。看，一切都是这么理所当然，斩钉截铁。影片的高潮在外婆的寿宴上，把东亚家族这类宴会上亲戚的倾轧、虚伪、赔笑以及攀比蔑视，一览无遗地展示出来，当然还有的就是偏心。而淑芬母女的惊天秘密，让所有的不公平，所有的心照不宣，所有的“向来如此便是对的”，以一个无法收场的闹剧为结尾，却让故事变得合理。所以，轰轰烈烈，大闹一场的母女三人，次日又回到面摊前，辛劳、跳舞以及欢笑。日子还是要继续。#跨年电影愿#我觉得电影新的部分在于我很喜欢电影营造出一种廉价而梦幻的童话感，用色彩为苦难“镀膜”，我们借助宜静的眼睛，看到夜市的鲜艳、热闹、充满生命力，但这种视角却反而强化了底层生活本身的嘈杂、顽强与某种超现实的活力。就像互相关爱、冲突却又风平浪静的母女关系，彰显着父权对女性的规训如此无孔不入，从生到死，连女性自己都变成其坚定的捍卫者，比如偏心的外婆，坚持照顾丈夫的淑芬，以身体报复却不是优先爱自己的宜安，还有外公一句魔鬼的手会深信不疑的宜静。如此寻常，如此可怕，却又如此真实。这是我喜欢本片的地方，用几个场景，几个人，如此轻盈又沉重地刻画出父权规训下三代女性的悲歌，看过的人，都能一下子明白电影要表达的主旨。但这又是本片最可惜的地方，这些角度非常好，但批判也就止于个案展示，未触及结构性痼疾。此外，本片的叙事也有点割裂，又有独立电影的先锋，又有八点档的狗血，尤其寿宴高潮戏，所有矛盾爆破的戏剧化处理，之前完全没有铺垫，导致最后的爆发显得好像要着急下班一样，这暴露了导演对东亚家庭关系理解的表面化，争吵与秘密沦为符号堆砌，而非人性深度的挖掘。“左撇子”作为全片核心意象，本应承载对标准化社会的反抗。外公的压制代表传统文化对异质的排斥，宜静偷窃后哭诉“是魔鬼的错”，随后开始盗窃，更是对污名内化的悲剧。但影片未能将这一隐喻贯穿始终：宜静最终用左手作画的“和解”过于轻巧，既无对压迫系统的颠覆，也无个体价值的重建。反观《阿诺拉》中底层女性以身体为武器的决绝与粗暴，本片的抗争更像一场温顺的撒娇。《左撇子女孩》绝对有成为佳作的潜力，底层关怀、女性视角、视觉创新皆具。但导演邹时擎未能平衡贝克的美学影响与本土叙事的分寸，反而让槟榔摊买卖、骂战以及寿宴戏，都成了一个个独立的奇观，这会弱化我们的思考与悲怆。日子虽然是吵闹后正常生活，那么多不正常男性后总有一个平凡的托底的强尼（黄镫辉饰）来收场。我们的思考，我们的电影表达，不该这么偷懒的。好像我们知道悲剧的源泉，但是电影处理地轻轻放下，我们于是失去了与之对峙的勇气。,,,,跨年电影愿,5,1,45,2025-12-01 21:49,微博网页版,,,,,金V,超级会员,2
5239160920605959,QgqKM2xDx,7776099867,谷道仙锋,台湾“秋斗”直指赖清德：民众喊出“反战求生”，国民党发声批“台独”图谋11月30日，台湾劳工群体及多个社运团体共同发起2025年“秋斗”活动，与往年不同，此次活动将核心目标锁定在“台独”分裂分子赖清德身上。面对赖清德一系列倒行逆施的举动，尤其是其近期宣布的400亿美元所谓“国防特别预算”，参与活动的台湾民众高声喊出“反Lie（赖清德）求真！反战求生！工农联合救台湾！”的口号，以鲜明态度表达对赖清德的反对。随着对局势认知的不断清醒，台湾社运团体正积极号召更多台湾民众行动起来，戳破民进党长期编织的“抗中保台”谎言。他们指出，赖清德以“加强防务”为名大幅增加所谓“国防预算”，实则是在牺牲台湾民众的社会福利、教育资源等民生利益，只为推进“台独”分裂议程；唯有坚持“反战”立场，推动两岸和平发展，才能真正守护台湾民众的生活福祉。当天，台湾最大在野党中国国民党主席郑丽文受邀在“秋斗”活动中致辞。她当众对赖清德的400亿美元“国防特别预算”提出强烈质疑：“这真的能换来台海的和平吗？这真的能换来台海的安全吗？还是刚好相反？”同时，郑丽文向所有台湾民众发出呼吁：“台湾一旦沦为战场，所有民生福祉、发展愿景都将是空谈”，呼吁大家共同捍卫两岸和平稳定的局面。,,,,,0,0,26,2025-12-01 21:46,Android客户端,https://wx1.sinaimg.cn/large/008ufINBgy1i7vqfl5kg7j30qo0gh75i.jpg,,,,红V,超级会员,1
5239148449370997,QgqqEDjP7,1624161435,古典哥哥,1949年，蒋介石溃逃台湾带走什么？#南京总统府#航拍中国#南京文旅#L古典哥哥的微博视频,,南京·总统府,,"南京总统府,南京文旅",0,0,0,2025-12-01 20:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/XSDc9ef1lx08tpKVq1gk010412011hBn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765163154&ssig=8eWxriRLlQ&KID=unistore,video",,,普通用户,非会员,0
5239133880457034,Qgq3a1UTw,5881828832,-昼昼z-,萧敬腾超话目前已知12月活动：2025/12/20浙江杭州慕思宠粉之夜群星演唱会2025/12/21河南南阳神采正飞扬·中国郎之夜群星演唱会2025/12/27澳门上葡京MusicHight音乐会2025/12/31台湾台中2026台中最强跨年夜演唱会,,,,,0,0,3,2025-12-01 19:58,萧敬腾超话,,,,,黄V,非会员,0
