id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239179523134232,QgreMd9m8,2686843783,-爵冷-,@-兔二半-当当当当当当当当有一位女士今天生日！！！（虽然日本时间已经快过去了）恭喜兔女士LevelUP！新的一岁里也要开开心心，万事如意，不管是二次元还是三次元都要一直一直幸福！（好了要来不及了我先发ps配图是teb大人临时为我赶工的假发拯救了我的tgs之旅（teb：不能让小刘在日本丢中国人的脸）我会给大人跪下……ps一个很好笑的事，今年见了很多次面，一起旅行，但唯一一次合照还是cp的时候且已经在我生日的时候发掉了，没招了啊！！,,,-兔二半-,,2,10,118,2025-12-01 23:00,iPhone 14 Pro,https://wx3.sinaimg.cn/large/a025fb87gy1i7vsjsal50j20qo0zkmzk.jpg,,,,红V,超级会员,2
5239179422470826,QgreCamM2,2506218195,投资玄学,日本当年房价见顶后，接踵而来的是失去的20年，中国的情况比日本更严峻。日本开始衰退时已是发达国家，而今中国还没有迈过中等收入陷阱，而且中国的老龄化比当时的日本严重的多。对中国这样的投资型经济体，房价和地价暴跌，意味着以房子和土地为抵押的经济扩张能力大幅收缩，未来通缩形势会更加严峻。,,,,,8,2,22,2025-12-01 22:59,HUAWEI Mate 60 Pro+,https://wx1.sinaimg.cn/large/9561dad3ly1i7vsftqnocj20ok0dwjtq.jpg,,,,普通用户,非会员,0
5239179300573676,Qgreq2peQ,1322847342,泉州那些事儿,赖岳谦、郭正亮：从安倍到高市早苗跨越十年的准备#热点解读##日本部署中导将是介入台海第一步##三分钟视频助燃计划##中长视频流量扶持计划#O网页链接,,,,"热点解读,日本部署中导将是介入台海第一步,三分钟视频助燃计划,中长视频流量扶持计划",0,1,3,2025-12-01 22:59,微博视频号,,,,,金V,超级会员,2
5239179183128785,Qgreed7Wh,3420982582,lzjapan北京人在大阪,在@首都机场办理托运、出关手续，差不多半小时就能结束。特别的方便快捷。然后就是漫长的等待了。为了打发无聊的时间，就只好拿起相机📷乱拍了一通。今天坐小凤凰🐦‍🔥回@中国国际航空的大阪。机内坐满了乘客。国人最多。还有欧美人和日本人。落地大阪关西国际机场时，外国游客的入关审查柜台依旧排起了长龙。有9个窗口对应着各国游客。行李转盘之间也排满了大小行李。因自己是再入国，所以也是30分钟之内办好入关手续、提取行李后就与接我的友人见到了。航班提前了半个小时到达。入关又特别的顺利。所以比自己预计的时间，差不多提前了一个小时就到家了。,,日本·大阪,"首都机场,中国国际航空",,0,5,11,2025-12-01 22:58,,"https://wx3.sinaimg.cn/large/cbe80d36gy1i7vs8ti7c2j21900u0afw.jpg,https://wx3.sinaimg.cn/large/cbe80d36gy1i7vs8uq3yuj21900u0jx0.jpg,https://wx4.sinaimg.cn/large/cbe80d36gy1i7vs8nnaubj21900u0gqx.jpg,https://wx1.sinaimg.cn/large/cbe80d36gy1i7vs8vgwp5j21900u0td0.jpg,https://wx4.sinaimg.cn/large/cbe80d36gy1i7vs8we0lbj21900u0tdy.jpg,https://wx1.sinaimg.cn/large/cbe80d36gy1i7vs8x48n7j21900u00yx.jpg,https://wx3.sinaimg.cn/large/cbe80d36gy1i7vs8yj1raj21900u0gt7.jpg,https://wx4.sinaimg.cn/large/cbe80d36gy1i7vs8z8y08j21900u0n2d.jpg,https://wx3.sinaimg.cn/large/cbe80d36gy1i7vs900i1zj21900u0wn5.jpg",,,,红V,超级会员,1
5239179119169131,Qgre7Ctjd,1705333161,垳鍺無彊,《已确认！日本巨头中国工厂停产，15年前规模上万人》据第一财经报道，多家中山企业向记者确认，中山佳能打印机工厂已于11月21日停产，员工临时放假到11月28日，目前该厂正在与员工、供应商结清关系。中山佳能打印机工厂所属的佳能（中山）办公设备有限公司，11月24日向全体员工发出公告称，近年由于市场环境急剧变化，LBP（激光打印机）市场持续萎缩、中国国内LBP品牌快速崛起，公司经营困难持续加剧，决定11月21日停止生产经营。O网页链接,,,,,0,0,0,2025-12-01 22:58,Android,https://wx1.sinaimg.cn/large/65a551a9ly1i7vsiu4te4j20j60as0ur.jpg,,,,普通用户,非会员,0
5239179090595641,Qgre52uX7,1859661774,金华磊哥,#专家建议不要用冲绳称呼琉球群岛#郭正亮：琉球人喊我们不是日本人！琉球群岛不属于日本。#热点解读##三分钟视频助燃计划#L金华磊哥的微博视频,,,,"专家建议不要用冲绳称呼琉球群岛,热点解读,三分钟视频助燃计划",20,11,202,2025-12-01 22:58,微博视频号,,"http://f.video.weibocdn.com/o0/G0FqMmu2lx08tpTlmJkA01041200YV9r0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765174493&ssig=uhM7wd4tqL&KID=unistore,video",,,金V,超级会员,2
5239179086926058,Qgre4t3MC,7053066675,Negi10_,这个日本人在中国留学。。每次尬聊他都喜欢自报家门。。每次我都替他捏把汗,,,,,0,2,1,2025-12-01 22:58,iPhone客户端,https://wx3.sinaimg.cn/large/007HjWPVgy1i7vshouf3rj30zo256qv5.jpg,,,,普通用户,非会员,0
5239178849951080,QgrdGFKJi,6360568615,付政浩MVP,"郭士强指导赛后发言很简练：一、连续两场输给韩国对男篮世界杯,让男篮进入世界杯决赛圈成为一件比较困难的事情，确实比较被动；二、输球原因就是攻守两端的临场发挥都不如韩国；三、赵睿缺席比赛主要是伤病原因，他打完全运会后身体比较疲惫，在国家队集训期间训练拉伤了小腿。确实，中国男篮对阵韩国男篮两连败确实让男篮世预赛的前景变得黯淡，但也不宜过度悲观。2027年男篮亚洲杯在卡塔尔举办，亚洲球队除了东道主外毕竟还有7个名额。中国男篮后面会确实很被动，但现在不应过于悲观。男篮世预赛亚洲区分了三个小组，小组赛首轮是四选三，各组的前三晋级第二阶段，第二阶段的12支球队分为两组，每组前三名及成绩最好的第四名，七支球队同东道主卡塔尔一起参加2027男篮世界杯决赛阶段。2月26日和3月1日将先后对阵日本和中国台北队，中国男篮亟需尽快找回状态，让那些基本功扎实、有自主进攻能力、真正愿意为国家队拼命的球员入选吧。#中国男篮晋级形势#L付政浩MVP的微博视频",,,,中国男篮晋级形势,18,182,451,2025-12-01 22:57,微博视频号,,"http://f.video.weibocdn.com/o0/KOSWGKczlx08tpThgvwc01041200htz60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765174493&ssig=C%2FjBTNXdn3&KID=unistore,video",,,金V,超级会员,2
5239149325975778,Qgqs4p4zw,6244553417,今日俄罗斯RT,【#日本参议员清晰解读敌国条款#：怒斥高市早苗愚蠢无知】近日，日本参议院议员、令和新选组党代表山本太郎面向日本大众，清晰解读《联合国宪章》中“敌国条款”从未被废除或失效，指出“被指控犯有战争罪的国家就是敌国”，表示“对日本首相高市早苗引发的现状深感担忧”，批评“日本为再次发动侵略做准备”，谴责高市言论“完全无视对中国的承诺”，劝诫日本国民别做梦认为“日本是个正常国家，可以做任何具有挑衅性的事情”，千万别以为依仗美国就可以狐假虎威。公开资料显示，山本太郎，1974年生，这位从演艺界转入政坛的日本政治家，是激进左翼政党“令和新选组”的创始人兼代表，目前担任参议院议员。核心政见属于左翼民粹主义，主张通过大规模财政支出和彻底废除消费税来缩小社会贫富差距，并坚定地要求彻底反核，此外，他还反对修改和平宪法、反对增强军备，反对解禁集体自卫权，反对日本右翼政治家参拜靖国神社。（视频来源：YOUTUBE皓哥频道“他说归他说”）#日本##高市早苗##美国#L今日俄罗斯RT的微博视频,,,,"日本参议员清晰解读敌国条款,日本,高市早苗,美国",42,30,218,2025-12-01 21:00,微博视频号,,"http://f.video.weibocdn.com/o0/ddZEfyailx08tpKGLuTK01041202DCbI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765175219&ssig=mCDAFI8nGm&KID=unistore,video",,,蓝V,超级会员,2
5239149322836587,Qgqs4bTVp,1663612603,中国经济网,#钓鱼岛及其附属岛屿自古就是中国领土#【#钓鱼岛主权归属历史清楚法理确凿#】今天，中国外交部发言人林剑主持例行记者会。有记者问，近日，日本政府在东京“领土主权展示馆”内新增3份所谓“证明钓鱼岛归属”的历史文件，试图证明日方涉钓鱼岛非法主张。中方对此有何评论？林剑表示，钓鱼岛及其附属岛屿自古以来就是中国的固有领土。钓鱼岛主权归属历史经纬清楚，法理依据确凿。这方面的证据，包括日本国内的外交档案、地图和历史学者文章，比比皆是。日方挖空心思搜罗一些断章取义、毫无说服力的所谓“历史资料”，恰恰证明日方对钓鱼岛非法主张根本站不住脚。（人民日报）#日本一意孤行中方绝不接受#,,,,"钓鱼岛及其附属岛屿自古就是中国领土,钓鱼岛主权归属历史清楚法理确凿,日本一意孤行中方绝不接受",0,0,2,2025-12-01 21:00,微博网页版,https://wx3.sinaimg.cn/large/6328b6bbly1i7vl4e4nmcj20zk0zktbu.jpg,,,,普通用户,超级会员,1
