id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239163572194537,QgqP39cTL,7598703061,冰浆巨好吃,今天学完了后来的谱子，老师讲了他学生的故事。之前有个中日混血的小女孩跟他学吉他，学后来的时候她妈妈一直在哭，后来是买了日本曲子的版权，这是一首日本人结婚婚礼上女儿唱给妈妈的歌。后来妈妈跟老师说自己得了癌症要回日本治疗，去年的时候朋友圈发了讣告，已经去世了。老师推测，可能那个时候她流泪，是怕听不到孩子在婚礼上给她唱这首歌。,,,,,0,0,1,2025-12-01 21:56,vivo S18 Pro,,,,,普通用户,非会员,0
5239163484117398,QgqOUhh7E,1659893422,小凡好摄,中日关系紧张之际，共同社周一（12月1日）引述消息人士报道，日本政府正在就出口陆上自卫队03式中程防空导弹与菲律宾展开磋商。高市政府计划最快明年上半年废除防卫装备品出口仅限非战斗目的“5类”的现行规则，正式决定后将迅速展开具体讨论以推动出口。#日本拟对菲律宾出口防空导弹##黄媒不会说的真相#,,,,"日本拟对菲律宾出口防空导弹,黄媒不会说的真相",1,0,7,2025-12-01 21:56,微博网页版,https://wx3.sinaimg.cn/large/62eff6aely1i7vqpokpf3j21kw16oqbf.jpg,,,,金V,超级会员,3
5239162743817356,QgqNIg14g,2327169883,洪师弟,#中方敦促日方老老实实收回错误言论#｜#热点解读#外交部发言人林剑12月1日明确表示，中方绝不接受日本在相关问题上口头上搪塞敷衍、行动上一意孤行的做法，敦促日方老老实实收回错误言论。这一强硬且坚定的表态，彰显了中方在大是大非问题上的原则和底线。历史上，日本曾给亚洲邻国带来沉重灾难，其侵略行径造成了无数人员伤亡和财产损失。然而，战后日本部分势力却试图逃避历史责任，对侵略历史进行美化、淡化甚至否认。这种行为是对历史正义的公然挑衅，也是对受害国人民感情的严重伤害。中方敦促日方以史为鉴、深刻反省，是基于对历史事实的尊重和对和平的珍视。只有正视历史，才能避免重蹈覆辙，才能真正实现地区的和平与稳定。日本此次的错误言论涉及到诸敏感问题，这些问题关乎地区的安全与稳定以及国际关系的健康发展。日本在这些问题上采取模糊、敷衍的态度，不仅不利于问题的解决，反而可能进一步激化矛盾，破坏地区局势的平衡。中方要求日方严肃对待中方要求，收回错误言论，是为了维护地区的和平秩序和公平正义。在国际关系中，各国都应该遵循国际法和国际关系基本准则，尊重他国的主权和利益，而日本的行为显然违背了这些原则。中方的表态体现了坚定维护国家利益和民族尊严的决心。外交是国家意志的体现，在外交事务中，中国始终坚持独立自主的和平外交政策，坚决捍卫国家的主权、安全和发展利益。对于日本的不当言论和行为，中方不会坐视不管，而是会通过外交途径表达严正立场，要求日方纠正错误。这不仅是对本国人民负责，也是对地区和世界和平负责。中方敦促日方收回错误言论，是基于历史、现实和外交多方面的考量。日本应该认识到自己的错误，以实际行动体现对中方的政治承诺，为改善中日关系、维护地区和平稳定做出积极努力。否则，日本将在错误的道路上越走越远，最终损害的将是自身的利益和形象。#全网热点共创计划#,,,,"中方敦促日方老老实实收回错误言论,热点解读,全网热点共创计划",19,26,26,2025-12-01 21:53,熬夜小能手,"https://wx1.sinaimg.cn/large/8ab5cb5bgy1i7vqn2rqpwj20u01eagt9.jpg,https://wx1.sinaimg.cn/large/8ab5cb5bgy1i7vqn3r0wzj20tt1eeh3i.jpg,https://wx1.sinaimg.cn/large/8ab5cb5bgy1i7vqn4nzi1j20tv1egdqo.jpg",,,,红V,超级会员,2
5239161864850034,QgqMiklIm,1821885644,月刊勇者KuMa君,在中日友好的时期，滨崎步已经在上海开了三次演唱会了。。。和平时期谁也不会不让她来，她的咖位倒不如说上海希望她来。。。有人不想让大家和和平平开开心心，是谁好难猜啊。。。,,,,,18,288,952,2025-12-01 21:49,6090TiPhone客户端,,,,,金V,超级会员,2
5239161654346898,QgqLXiePg,2318629240,西安青年聚,#青年看世界#【#高市错误言论被多国定性为高市谬论#】日本首相高市早苗近期发表的错误言论，被多国定性为违反国际关系准则的“高市谬论”，严重恶化中日交流氛围，遭到广泛批评，引起国际舆论广泛关注。一起看媒体观察↓↓#聚青春正精彩#（央视网）L央视网的微博视频,,,,"青年看世界,高市错误言论被多国定性为高市谬论,聚青春正精彩",0,0,0,2025-12-01 21:49,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/TPoKMFA4lx08to1Od40801041200WgA60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765147428&ssig=oHI%2FK%2FfTCb&KID=unistore,video",,,蓝V,非会员,0
5239161564959356,QgqLOkO9C,7813775194,李小北-定会幸福ya_,中日这场博弈啊……哎呀，深深的无力感。好难受。,,,,,0,0,0,2025-12-01 21:48,,,,,,普通用户,会员,6
5239161498108901,QgqLHy1uJ,2410552472,王鹭佳的摄影,摄影人超话王鹭佳《鲁力随想集20251201》@每日一诗始于20150521昨天上午外出参观了泰康养老社区中午在哪里吃了顿午餐再到移动营业厅办好新手机号码回家也没闲着还是干农活今天12月1日我继续宅家一觉睡到自然醒十一多才起床先喂狗猫鸡鹅然后去做饭把自己喂饱一直到一点多睡了个午觉下午开始阅读还清洗厨房和玻璃房的地板傍晚干了些农活权当锻练身体活动下筋骨一举两得许多的时候谁如果把话说对了也就把人得罪了貌似勤奋好像很努力考不出好成绩上不了名校还会有希望争上游吗文化不自信就会失魂落魄社会不和谐心神难定福建和台湾虽然一水之隔靠的也是最近的为什么许多顽固首要台独分子来自于福建怀疑一切的时候正因为相信自己把自己放在最重要的位置自己的心上人首先是自己有些人活在当下却回到过去逃避未来无问西东躺平了中日如果爆发了战争国内必须严防汉奸群体的兴风作浪记得有人说诗人有病呻吟情人无病呻吟许多的聪明人没病还找病20251201#诗歌##诗人##王鹭佳#,,,每日一诗始于20150521,"诗歌,诗人,王鹭佳",0,0,1,2025-12-01 21:48,摄影人超话,https://wx3.sinaimg.cn/large/8fae1c98gy1i7vqhz5pp7j20u01i6jy5.jpg,,,,黄V,非会员,0
5239161221288445,QgqLg5pbn,5371087014,进击的鱼头1,中日打不打仗我不知道反正银行人要开打了,,,,,0,2,2,2025-12-01 21:47,iPhone 17 Pro,"https://wx1.sinaimg.cn/large/005Rux5Ily1i7vqd1539gj30u0140tmp.jpg,https://wx2.sinaimg.cn/large/005Rux5Ily1i7vqcwlq5mj30u0140gx1.jpg,https://wx4.sinaimg.cn/large/005Rux5Ily1i7vqeek0nuj30u01hcn9o.jpg,https://wx3.sinaimg.cn/large/005Rux5Ily1i7vqcxpmqyj30u0140aoe.jpg,https://wx1.sinaimg.cn/large/005Rux5Ily1i7vqczec5aj31400u07i6.jpg,https://wx1.sinaimg.cn/large/005Rux5Ily1i7vqd32yd2j30u0140nbd.jpg,https://wx2.sinaimg.cn/large/005Rux5Ily1i7vqd651lsj30u01hcwqh.jpg,https://wx1.sinaimg.cn/large/005Rux5Ily1i7vqd7x215j30u01hc1kx.jpg,https://wx1.sinaimg.cn/large/005Rux5Ily1i7vqdafy2ej30u014011q.jpg",,,,普通用户,会员,7
5239149057808910,QgqrDwLsa,1347411011,杨帆教授,日本正式通过决议，要求薛剑道歉！12月高市早苗还要办一桩大事播报文章捭阖评论2025-11-3018:15来自山东由于日本的反击，中日本轮交锋已经再次升级。现在的最新情况是：日本已经正式通过决议，要求中国驻大阪领事薛剑公开道歉。与此同时，就在12月份，高市早苗还要针对中国，办一桩大事。这到底是怎么回事呢？日本通过的两份项决议数小时前，日本通过了两项重要的决议：第一项决议，是日本大阪府议会通过的，该决议要求中国驻大阪领事薛剑正式向日本道歉。其实，早在本月早些时候，大阪市级议会也通过了这项决议，但薛剑并没有如他们所愿。看样子，薛剑的那句“当肮脏的脑袋伸过来时，我们只能毫不犹豫砍掉”，真的深深地刺激了一大群日本政客，才让这些人如此逮着他不放。眼下，他们一副“薛剑不道歉不行”的嘴脸，而这可能会直接导致一个结果：薛剑搞不好会被要求离开日本境内。当然，一旦日方走出这一步，也就意味着局势再次升级，毕竟这已经到了驱逐对方外交官的地步。到时候，中国必然也会有相应的反制手段。第二项决议，是日本内阁数小时前通过的。根据该决议，日本2025年度整体防卫相关费用将达到约11万亿日元，提前实现了占GDP2%的目标。之所以能提前实现，当然是高市早苗的“功劳”。对此，高市早苗政府上上下下都非常得意。与此同时，这两天高市早苗还收到了一个极好的消息：由她领导的执政联盟，已经顺利地夺回了日本众议院的多数控制权，目前执政联盟在众议院目前的席位达到了233席，超过了总席位的一半。这也就意味着：高市早苗以后要办什么事，那可就简单多了，很容易在众议院获得批准。接下来，高市早苗的目标就是冲击参议院，得到参议院的多数控制权。一旦她做到了这一点，那日本务实派将很难再挡住右翼对这个国家的控制。以前种种消息，都是咱们中国不愿看到的。这一切，都告诉我们一个现实：虽然首相官邸门口的抗议民众不少，但高市早苗目前仍然能控制住局势，很多事都是朝着她想要的方向发展。说到底，由于日本右翼自安倍晋三时代开始就不断地布局和炒作，才让日本这个国家在歧路上越走越远。而高市早苗的出现，则加剧了这种改变。12月份，高市早苗还要办一桩大事高市早苗不是省油的灯，她一边加强对国内的种种控制，一边也在向外布局。就在12月份，她准备请一些特殊的客人到东京来共商大计，这些客人就是：中亚五国的领导人。据日本共同社的最新消息，高市早苗要把这5国高层都请去共商大计，并召开首次日本-中亚首脑会议。据日媒报道，会议的内容主要是两个：日本希望在稀土问题上，跟中亚五国进行合作，毕竟中亚的稀土资源是非常丰富的，而接下来中国可能会随时停止对日本的稀土出口。面对中国和俄罗斯的强大影响力，日本希望加深跟中亚的沟通。众所周知，中亚五国是中国和俄罗斯的友国国家，高市早苗这次是想挖中俄的“墙角”吗？看起来，事情并不仅是这么简单。其实，高市早苗此举是想跟中俄玩“一箭双雕”：一方面，高市早苗希望通过这次与中亚的沟通，向美国传递一个信息：特朗普11月份不是也请了中亚五国高层进白宫讨论合作吗？不过，由于地理距离相隔太远，这些合作很难推进。但现在有了日本介入就好办多了，日本离中亚可不远，完全可以能成美国和中亚之间的桥梁。另一方面，高市早苗也是想做给全世界看，告诉全世界：日本并不怂，日方不但不打算对中国服软，还能在中国的“后院”搞事情。当然，此举也有敲打普京政府的意思。特变电工重组最新消息已出_特变电工重组或成10倍牛股热门主题x通过这些事，相信大家也都看明白了：我们已经不能指望着高市早苗撤回言论，对于这样的顽固派，我们只能动用更多手段。说到底，中日本轮交锋，拼到最后仍然是拼综合国力，拼经贸实力。毕竟，眼下双方都不太可能选择用直接起军事冲突的方式来解决问题。而说到拼经贸实力，高市早苗大可以去问问刚刚跟中国打了一轮贸易战的特朗普，看看他是何感受。内容中疑似包含AI生成内容，请仔细甄别。分享至：,,,,,2,1,8,2025-12-01 20:58,微博网页版,,,,,金V,超级会员,2
5239148598003746,QgqqTxA8G,2460937233,热度新闻,【#日本学者分析高市早苗不认错心态#】近期，日本首相高市早苗的涉台错误言论，在日本国内外引起不满。日本政治经济评论家古贺茂明表示，高市早苗此番错误发言极为轻率，日本民众无法接受。日本政治经济评论家古贺茂明：承认一个中国原则，台湾是中国的一部分，日本一直以理解并尊重这一立场为基础。自《中日联合声明》发表以来，不断累积起相应的政策框架，但高市却发表了非常轻率的言论，这是日本国民愤怒的事情。古贺茂明表示，日本政府所谓“集体自卫权”，本身就涉嫌违反宪法，现在又借所谓“存亡危机事态”之名，扩大“集体自卫权”使用范围，根本是错上加错。日本政治经济评论家古贺茂明：像我们这样法学专业出身的人，上大学的时候都系统学习过法律和宪法，长期以来，我们当中99%的人都认为“集体自卫权”是违反宪法的。这次是在完全不清楚日本到底哪里陷入危险的情况下，（高市）就声称什么进入所谓“存亡危机事态”，还极力辩称“这不是违宪，只是在极其限定的状况才使用”。然而已经随意扩大了适用范围。这种做法明显就是违背宪法的，这与日本右翼分子在错误的历史认知上的态度非常相似，就是无论如何都不想认错，和不愿承认日本过去犯下的罪行的心态一样。古贺茂明表示，高市早苗的错误发言严重影响中日人员交流氛围，中国游客锐减将给日本经济带来巨大影响。日本政治经济评论家古贺茂明：日本民众起初认为高市上台应该会推出大规模的经济政策，但当这种期待值下降时，将在市场上出现反作用的冲击。同时经济方面还有一点令人担心，就是外国人入境旅游，中国方面已经呼吁避免访日，这将对日本产生切实影响。#高市早苗被爆花8384万日元仍惨败#（央视新闻、北京日报）L北京日报的微博视频,,,,"日本学者分析高市早苗不认错心态,高市早苗被爆花8384万日元仍惨败",0,0,0,2025-12-01 20:57,微博视频号,,"http://f.video.weibocdn.com/o0/pd9HmFc5lx08tpuyIa5i01041200RazR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765148372&ssig=pXwnr0ugsX&KID=unistore,video",,,普通用户,超级会员,2
