id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239193303256998,QgrB0dFie,6993823294,品茶说酒,高市结局已定？日本政界表态，她不具备首相资格，中方再对日出手！高市早苗结局已定？日本政界表态，称她不具备首相资格，中方也对日出手。最近，高市早苗不仅拒绝撤回错误涉台言论，反而引用“旧金山合约”和所谓的“中日合约”，这两张中方根本不承认的废纸，意图蒙混过关。此举引发内外激烈反响，日本政界喊话，中方也再对日出手，高市首相之位恐不保。11月30日，中国商务部发布第77号公告，决定对原产于日本、美国、韩国和马来西亚的进口聚苯硫醚，发起反倾销措施期终复审调查，调查期间征收反倾销税。其中，日本公司税率最高为69.1%。这段时间以来，由于高市早苗的涉台挑衅言论，中日关系跌至低谷。期间，中方采取一系列措施反制：外交层面，两次奉示召见日本在华工作人员，并在联合国甩出“敌国条款”；军事层面，在黄海、渤海海域开展持续数日的军事演习，还在甲午战争故地刘公岛，组织实弹射击演习；文化层面，继早前日本电影被撤档或暂缓上映后，更多日本艺人在华演出被取消或延期；经济层面，发布赴日警告，暂停日本水产品进口，停止日本牛肉进口措施磋商，还有这次征收反倾销税。中方这一系列举动，既是防御，也是提前示警，就是要告诉日方，中方维护国家领土与主权的决心坚定不移。若日方继续挑战战后秩序，妄图干涉中国内政，中方有的是手段。可高市政府依然不知悔改，还引用什么“旧金山和约”，说什么“日本没有资格认定台湾地位”，但这个条约中俄都不承认，根本不作数。而且高市的言论，虽然看起来是退了一步，但实质上是让问题更模糊、且不确定了。中日四个政治文件才是双方关系的基础，高市此言，摆明了是妄图向危险方向迈进。随着中方压力扑下，日本各界已经逐渐感受到压力。航空数据显示，截至11月27日，12月原计划执行的5548个中国飞日本的航班中，904个已确定取消，取消比率达16%。大阪观光局长沟畑宏也透露，根据该局20家成员酒店的调查，在今年剩余的时间里，中国游客的预订取消率高达50%至70%。日本前参议院议员系数庆子表示，日本经济高度依赖中国，可现在游轮不来了，中国游客取消赴日游玩，酒店、航班各行各业苦不堪言。根源就是高市的错误言论，这种干涉别国内政的发言，她完全不能这么说，在我们看来，高市已经不具备首相的资格了，希望她能尽快撤回发言，越快越好。在政府内部，高市的压力也不小，上台不足俩月，好不容易求来的执政联盟，就摇摇欲坠。维新会已经放出风声，不排除退出与自民党的执政联盟。一旦维新会退出，高市政府将成跛脚鸭，各种政令难以推行。近来，日本内部传出高市欲趁民调高峰，解散众议院提前大选的猜测，就是这个原因。如今摆在高市早苗面前的，只有三条路：1、强硬到底，结果就是执政联盟破裂，提前大选；2、悬崖勒马，收回错误言论，损伤右翼支持可能被抛弃；3、调整部分立场，结果就是不伦不类，两不讨好。对于中方而言，高市言行之恶劣、影响之坏，必须要有一个交代，现在闹得这么大，绝不接受高高举起轻轻放下。因此，高市的选择只有一个，若执迷不悟，中方反制将继续升级，定要为其错误言行付出更大代价。#日本国宝级歌手喊话高市爽快一点##三分钟视频助燃计划##热点解读#L品茶说酒的微博视频,,,,"日本国宝级歌手喊话高市爽快一点,三分钟视频助燃计划,热点解读",14,16,26,2025-12-01 23:54,微博视频号,,"http://f.video.weibocdn.com/u0/g1jrP5P3gx08tpXffJtK010412039eS40E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124314&ssig=7bp1Z%2BeFWk&KID=unistore,video",,,金V,超级会员,2
5239193175593070,QgrANnt0O,6488114629,阿森正能量,"抵制日本洗脑，日本文化输出被全面切断！""日本""中日关系""中国文化""#高市早苗涉台谬论严重冲击中日关系##一分钟视频创作季#L阿森正能量的微博视频",,,,"高市早苗涉台谬论严重冲击中日关系,一分钟视频创作季",2,8,18,2025-12-01 23:54,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/3wv1VeMJlx08tpXc8cWY01041203brXf0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124314&ssig=yiSnRJHMLM&KID=unistore,video",,,金V,超级会员,2
5239191341893934,QgrxQ7WHk,2812129277,紫金山上听风吟,#中日外交局势#中日关系紧张，日本会不会偷袭中国？石破茂举例回应，态度很悲观L紫金山上听风吟的微博视频,,,,中日外交局势,0,0,0,2025-12-01 23:46,微博视频号,,"http://f.video.weibocdn.com/o0/MSzWa840lx08tpWI3GJG01041201zgYy0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124314&ssig=AssKJtF8ua&KID=unistore,video",,,金V,超级会员,2
5239190952346926,Qgrxd9QxE,7634433938,小狗困乎乎o8,#日本国宝级歌手喊话高市爽快一点#日本国宝级歌手加藤登纪子公开呼吁首相高市早苗撤回争议言论，因其涉及台湾问题引发中国强烈反对，导致中日关系紧张。加藤在电视节目中表示希望高市调整立场，促进中日关系稳定。此举在日本社会引发广泛讨论，公众关注其对地区稳定的积极意义。截至12月1日，高市尚未回应加藤的呼吁，事件未来走向受到关注。,,,,日本国宝级歌手喊话高市爽快一点,0,0,0,2025-12-01 23:45,Android,,,,,黄V,非会员,0
5239190905684604,Qgrx8nQPa,7900443788,老白兔-1975,鬼子从未走远姜文在《鬼子来了》里用黑白影像定格的荒诞与血腥，本应是刻进民族骨血的警示。河北挂甲台村民对日军俘虏的天真妥协、对暴力威胁的集体懦弱，最终换来了全村被屠的惨剧，结尾马大三头颅滚落时那抹刺目的血色，恰似对健忘者最尖锐的嘲讽。而今二十年过去，姜文当年剖开的民族性病灶不仅未愈，反而在麻木与追捧中滋生出新的脓疮——一边是高市早苗之流的军国主义幽灵死灰复燃，一边是国内无数人对着一场取消的演唱会长吁短叹，将民族大义矮化为情绪宣泄的筹码。高市早苗的倒行逆施，早已不是简单的政治挑衅，而是军国主义亡魂的公然复辟。这个屡次参拜靖国神社、否认南京大屠杀、为美化希特勒书籍作序的右翼政客，在当选日本首相后变本加厉，一边宣称“台湾有事即日本存亡危机”，明目张胆插手台海事务、推动日台“准安全联盟”，一边加速日本军力扩张，解禁集体自卫权、恢复旧日军阶用语、讨论修改“无核三原则”，其狼子野心昭然若揭。她的每一步操作，都在复刻二战前日本军国主义的扩张轨迹，都在践踏历史正义与人类良知。当日本防卫大臣在距离台湾仅110公里的与那国岛部署防空导弹，当自卫队制定“台海有事”的作战预案，《鬼子来了》里日军屠村时的枪声，已然在现实中隐约回响。更令人齿冷的是，面对这样的军国主义复苏，国内部分人的关注点却偏移到了荒诞的境地。滨崎步上海演唱会取消，竟引发一片“惋惜”之声：有人痛斥“破坏契约精神”，有人共情艺人“空场演唱的遗憾”，有人计算自己的机票酒店损失，却对演唱会取消的核心背景——高市早苗政府的反华挑衅、中日关系的紧张态势——选择性失明。这些人无视艺人在国家主权问题上的模糊立场，无视日本右翼势力对历史的篡改与对现实的挑衅，反而将个人娱乐诉求置于民族大义之上，何其荒谬！他们忘记了《鬼子来了》中村民因“苟活”心态纵容侵略者的惨痛教训，忘记了无数先烈为抵御外侮付出的生命代价，在娱乐至死的浪潮中，把历史创伤淡化为可被消费的背景板。文化交流从来不能脱离政治现实与历史底色，所谓“契约精神”更不能凌驾于民族大义之上。滨崎步团队的筹备付出值得尊重，但在日本首相公然挑战一个中国原则、军国主义势力抬头的当下，文化交流的闸门必须为国家利益而设。那些为演唱会取消鸣不平的人，恰恰陷入了姜文在电影中批判的“集体无意识”——如同挂甲台村民幻想用粮食换和平，他们妄图用娱乐消费消解地缘政治的尖锐矛盾，用个人喜好替代对国家安危的考量。却不知，当年正是这种对侵略者的妥协心态，让“鬼子”得以长驱直入；如今正是这种对军国主义复苏的麻木，让高市早苗之流有恃无恐。《鬼子来了》的价值，不在于展现战争的残酷，而在于揭露健忘与懦弱的致命。姜文用黑白影像告诉我们：真正的“鬼子”，从来不是荷枪实弹的侵略者，而是潜藏在人性深处的麻木、健忘与妥协。当高市早苗们为军国主义招魂时，当国内一些人沉迷于跨国娱乐而丧失警惕时，我们必须清醒地认识到：历史从未远去，“鬼子”始终窥伺。民族大义面前，没有模糊地带；历史警示之下，容不得半点矫情。那些为一场演唱会惋惜的人，该醒醒了——当军国主义的铁蹄再次抬起，没有谁能在娱乐的幻梦中独善其身。铭记历史不是延续仇恨，而是守护和平；警惕“鬼子”不是拒绝交流，而是坚守底线。若连这点清醒都没有，姜文电影里的血色悲剧，终有一天会以另一种形式重演。,,,,,1,1,1,2025-12-01 23:45,,,,,,普通用户,会员,4
5239190593733307,QgrwDfFcD,1393202693,菜鸟军虫,菜鸟军虫超话转发关注。【#中方敦促日方老老实实收回错误言论#】#在大是大非问题上日本不要妄想蒙混过关#今天，有记者问，日本首相高市早苗此前称，日本已根据“旧金山和约”放弃了全部权利而“无法认定台湾的法律地位”。日本外相茂木敏充28日被问及这是否意味着“日本不承认中国对台湾的主权”时，重复了“旧金山和约”的相关说法，并称日本政府对台湾的基本立场正如1972年的《中日联合声明》所述，不多也不少。发言人对此有何评论？外交部发言人林剑表示，日方对自身在台湾问题上的立场，一再遮遮掩掩，含糊其词，对将台湾明确归还中国的《开罗宣言》《波茨坦公告》《日本投降书》避而不谈；对构成中日关系政治基础4个政治文件避而不谈；对日本政府坚持一个中国原则的政治承诺避而不谈。反复以所谓“立场未变”敷衍搪塞。连完整重申日方的立场，都无法做到。日方避而不谈的，恐怕不仅仅是在台湾问题上的立场。今天是《开罗宣言》发表82周年，《开罗宣言》等一系列国际法律文件不仅明确了中国对台湾的主权，更是世界反法西斯战争的重大成果，构成战后国际秩序重要组成部分。遵守其有关规定是日方必须承担的国际法义务，也是战后日本重获国际社会接纳的前提，现在日方只字不提具有充分国际法效力的上述文件，却一味引用一个把受日本殖民侵略最严重的亚洲邻国，特别是中国排斥在外的文件，这是对日本军国主义侵略惨痛记忆的漠视，对世界反法西斯战争历史真相亵渎，对联合国权威和战后国际秩序公然挑战。日方近年来大幅调整安保政策，逐年增加防卫预算，图谋修改“无核三原则”。日本某些势力正极力突破“和平宪法”的束缚，企图违背国际法规定的战败国义务。这些人从未真正汲取历史教训，从未真正直面和反思日本在战争中犯下的滔天罪责，从未真正遏止军国主义在日本死灰复燃，反而企图用美化侵略的叙事和“避而不谈”的手法，让世人遗忘，为自己“松绑”。这种伎俩欺骗不了世人。历史倒车开不得，和平底线碰不得。日本在口头上搪塞敷衍，在行动上一意孤行，中方对此绝不接受。在大是大非问题上，日本不要妄想蒙混过关。我们敦促日方以史为鉴、深刻反省，严肃对待中方要求，老老实实收回错误言论，以实际行动体现对中方的政治承诺。（总台记者申杨）L央视军事的微博视频,,,,"中方敦促日方老老实实收回错误言论,在大是大非问题上日本不要妄想蒙混过关",1,0,0,2025-12-01 23:43,菜鸟军虫超话,,"http://f.video.weibocdn.com/o0/GYaEuf6elx08tpu1OyLe01041200rxrV0E010.mp4?label=mp4_720p&template=864x486.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124314&ssig=vJ5XVvPrwl&KID=unistore,video",,,黄V,会员,7
5239186702731120,Qgrqmbsuk,7837612513,红牛满仓V,三连阳A股继续放量上涨，还能走多远？A股延续上周反弹走势，沪指重返3900点上方，近3400只个股收涨，有色金属、通信、电子板块涨幅居前。市场交投活跃，日成交额逼近1.9万亿元。受访人士认为，A股12月大概率仍处于多空激烈博弈的复杂环境中，整体或维持震荡格局。本月需关注政策动向、美联储降息等变量。量能增至1.89万亿元1A股迎来开门红。沪指收涨0.65%报3914.01点，创业板指收涨1.31%报3092.5点，深证成指收涨1.25%。科创50、沪深300、上证50涨约1%，北证50收涨1.52%。指数延续上周反弹态势，交易量也有所放量，日成交额增至1.89万亿元，上一个交易日成交额1.6万亿元。杠杆资金方面，截至11月28日，沪深京两融余额为2.47万亿元。盘面上，6G概念、黄金概念、AI手机、AIPC、PEEK材料概念大涨。消费电子设备、港口航运、零售、影视动漫涨幅超过2%。市场共计3398只个股收涨，涨停股76只；1872只个股收跌，跌停股7只。今日共有7只个股日成交额超过100亿元，CPO概念龙头股中际旭创收涨4.57%报538元/股，新易盛收涨2.25%报355.61元/股，中兴通讯涨停，紫金矿业涨逾5%报30.06元/股。阳光电源跌近2%，宁德时代涨近3%。放量走强能维持多久“放量走强的态势能否维持，需综合多因素考量。”陈兴文继续分析，预计12月A股市场仍处于多空激烈博弈的复杂环境中，整体或维持震荡格局。但需关注以下市场影响因素：一是政策方面，中央经济工作会议等重要会议释放的政策信号至关重要，其对财政、货币等政策的定调将直接影响市场走向。二是外部事件，美联储12月议息会议表态对全球市场流动性有潜在影响，需关注其降息幅度及后续指引。三是流动性层面，国内央行的货币政策操作以及外资、机构资金的流向，将决定市场的资金充裕程度。此外，行业发展趋势、企业盈利数据等微观因素，也将对市场产生重要影响。名禹资产认为，综合来看，预计A股市场或继续高位震荡，原因有四点：一是国内宏观数据整体较弱，11月制造业PMI数据弱改善，连续8个月低于荣枯线；二是人民币持续升值，体现海外对中国经济和人民币资产预期更加积极；三是中日关系的紧张升级扰动市场，军事冲突可能性降低，但经济制裁或有升级可能；四是目前看来美联储12月降息落地概率偏高。名禹资产建议，关注2026年产业景气度向上的AI、新能源、创新药、有色、新消费；主题投资可关注商业航天等方向。“当前无明显利空，也无强力催化，短期不确定性下降、下行风险释放充分，叠加国内政策预期可能提前发酵，后续股市或呈震荡修复。”星石投资首席策略投资官方磊告诉记者，前期热点多自高位显著回落，市场缺主线、增量资金弱，板块轮动将加快，具有产业趋势或处低位的板块更易受资金关注。如何持仓布局展望市场，鸿涵投资首席投资官呼振翼表示，科技板块已现企稳迹象，12月大盘将震荡筑底；月中美联储议息前后或有反复，月底迎来布局窗口。趋势机会看好有色、国产算力及AI应用。#今日看盘#,,,,今日看盘,0,0,0,2025-12-01 23:28,iPhone 15 Pro Max,"https://wx2.sinaimg.cn/large/008ypP33gy1i7vte2h7qfj30zu25ok7l.jpg,https://wx4.sinaimg.cn/large/008ypP33gy1i7vte40ep0j30zu25odw4.jpg,https://wx1.sinaimg.cn/large/008ypP33gy1i7vte1qhb5j30zu25otwe.jpg,https://wx4.sinaimg.cn/large/008ypP33gy1i7vte5cmbfj30zu25onkn.jpg,https://wx2.sinaimg.cn/large/008ypP33gy1i7vte6fqw9j30zu25ok6g.jpg",,,,黄V,超级会员,1
5239185721265835,QgroM5jiH,7765109695,林拳的精神世界,中田敦彦针对最近的中日关系做了个视频，非常值得一看。考虑到阿酱的一以贯之的表达风格（减少个人主观、尽力保持中立），基本上算是公开对高市早苗表示反对了。阿老师在油管有550万关注，可以说是日本知识区首屈一指的创作者，很好奇这个视频发出来，会对日本国内的舆论造成何种影响。又想起很早之前看到友邻说的，日本国内基本盘要对中国改观，大概也需要有一个影响力巨大的网红，以个人身份来大陆旅行、交流。当时想着ひろゆき，但他不可能，现在一想，这个人很有可能就是中田敦彦。,,,,,4,10,49,2025-12-01 23:24,微博网页版,,,,,黄V,非会员,0
5239185709470432,QgroKDJGU,7266812733,沐然望风,刚知道北京出现火流星，自东南往西北走。按照古代说法，东南或有战事，也许兔子要教训小日本了，后期中日关系会激化。只是个人胡乱解读，别乱信～～也有可能只是一般天文观测而已。,,,,,0,0,0,2025-12-01 23:24,iPhone客户端,,,,,普通用户,非会员,0
5239184390361057,QgrmD1vVv,1902954761,活力的青山松林,今天，我们站在民族复兴的关键节点，再次回望历史、审视当下——国家的领土完整，从来都是民族生存的根基、文明延续的命脉。从郑成功收复台湾的慷慨激昂，到林则徐虎门销烟的铁血担当；从抗美援朝战场上“保家卫国”的冲锋号角，到新时代边防战士“清澈的爱，只为中国”的赤胆忠诚，无数中华儿女用热血证明：领土完整不容侵犯，民族尊严不容践踏！台湾是中国不可分割的一部分，这是国际社会公认的事实，是历史与法理的必然结论，更是全体中华儿女的共同意志。任何企图分裂自己国家的人，都将被永远钉在历史的耻辱柱上；任何外部势力的干涉挑衅，都挡不住中国人民统一祖国的坚定步伐。中日关系的发展，始终离不开对历史的敬畏和对彼此核心利益的尊重，钓鱼岛及其附属岛屿是中国固有领土，这一立场有着坚实的历史和法律依据，不容任何质疑和篡改。今天的中国，早已不是百年前积贫积弱的模样。我们有强大的综合国力作后盾，有先进的国防力量作保障，更有十四亿人民同心同德的磅礴伟力。捍卫国家领土完整，不是一句空洞的口号，而是融入每个中国人血脉的信仰——是科研工作者在实验室里的日夜攻关，是企业家在市场上的奋力拼搏，是年轻人在校园里的刻苦钻研，是每个普通人在岗位上的尽职尽责。同胞们，民族复兴的征程上，我们或许不会都走上战场，但每个人都可以成为捍卫领土完整的“战士”。让我们以坚定的立场筑牢防线，以实际行动凝聚力量，让世界看到：中国人民捍卫国家核心利益的决心坚如磐石，任何分裂国家的企图，都将在中华儿女的团结一心面前，彻底失败！L活力的青山松林的微博视频,,,,,4,2,30,2025-12-01 23:19,微博视频号,,"http://f.video.weibocdn.com/o0/1qdvXDY3lx08tpUNmMe401041200rsrH0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765124314&ssig=fZC3ZB6IkK&KID=unistore,video",,,普通用户,会员,9
