id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239177935585645,Qgrcdnr53,6134851201,逻辑常识乐子人,国关杂录高市早苗在懂王第二任期内刚成为首相就同时挑衅周边国家，似乎是为解决琉球问题、彻底瓦解“第一岛链”提供了前所未有的战略机遇期；如是，东南问题的解决难度将跳水式下降。把握机遇的关键在于俄罗斯，需要中俄在外交和军事上方向一致，需要出现直接军事冲突风险的切实升温（但并非中美之间），懂王可凭此后撤军事资产、甩掉事实上不如鸡肋的军事基地包袱，同时可以此为由以及借助该风险施压日本签一份比俄乌28条对懂王更有利可图的协议，（日本油水丰厚，话语权不如欧洲支持的乌克兰）最后懂王可以说自己制止了东亚大战/三战序幕。撤军+止战+制造业回流+投资+驻日军费，对于懂王的吸引力应该不低。这种场景，只可能发生在懂王第二任期，且需要日本领导人史上难得地配合。,,,,,0,0,0,2025-12-01 22:53,微博网页版,,,,,普通用户,非会员,0
5239177383774869,QgrbkfQ0Z,7789716858,趋势分析一姐,夜深了！科技和消费到底能不能同时上涨！直接关乎我们在跨年行情能否赚到大钱！因此下面分享观点后，再给大家两大提醒！下午收盘我提出，长期主线依然是科技，但消费机会却越来越大！这点目光短浅者不可预见，用技术和短线来看消费也弱爆了。因为消费机会来自宏观，即在目前经济转型下，想要有质的变化，仅依托科技单吊未来，不现实。所以现在讲究一个内循环，核心动能就是消费。这点在此前公布的五年方向中也很清晰，只是优化居民收入与保障，各方面促进整体消费需要时间罢了。但股市玩的就是预期！所以从宏观视角来看，消费的长牛趋势起点，不排除会从今年跨年到春节行情中展开！而这正是我此前预告的退出或降仓节点。因为这波消费机会，我锁定的是白酒估值修复，而不是如今年科技这般拿到所有增长红利。毕竟资金有限下，鱼和熊掌不可兼得，且在长期价值投资上，我也早已选定了方向：比如6月16日下午追踪的证券。7月14日下午追踪的半导体。还有最后在9月5日上午开盘追踪的光伏。这三个行业，才是我主抓时代红利的核心战场！其中半导体和光伏都是科技，属进攻性布局。证券即金融领域的防御性布局。至于白酒，更多是消费复苏下的预期性波段机会！也因此我目前持仓结构是：10月29日布局，后在11月27日加仓的白酒，独占5成。剩余5成其他仨行业均分。主打在有限的可支配仓位下，趋势与波段一手抓！以此再在后面，反过来强化长期价值投资的仓位。也就是说，就去我在下午收盘表达的那样，我认为科技与消费，会在这次跨年行情共振上涨！所以问题来了，哪来的量能支撑科技与消费同步上涨？这是一些自以为专业的人，一定会想到的问题。我且不说今年量能远超去年，就量能本身也根本不是问题！因为近三年的经济转型期，已消化了很大一部分重资产龙头的危机，不仅会持续倒逼储蓄资产向A股转移，更打消了内外资金的入市顾虑。在此背景下，中美利差倒挂趋势也愈发明显，配合A股优化到成熟的机制变化，存量博弈转向增量入市的时代拐点，就在眼前！因此如果用心感悟，会发现今年资金面已非是纯粹的此消彼长，而是积极寻找更多确定性机会，否则今年至今不可能放出大量。而且主力和机构也在此前的调整中，充分实现了调仓换股，同样给后市的共振上攻打下了前期基础！重要的是，科技与消费同时上涨，也从来不是新鲜事。有的是不如今年量能，但却连续共涨的情形。何况当前市场不仅有较强的信心韧性，还有明显的增量态势，足以支撑前所未有的双主线齐飞！但这种情况更可能会在明年频出，而出在今年的时间节点，大概率就在跨年到春节期间的行情之中。最后结合前文，更能理解最后给大家的两大提醒：第一，白酒的核心逻辑这次抓白酒的逻辑不是业绩，更非未来发展，而是周期！因为白酒经历七年的高速发展，又有度过四年的有效调整，直到今年才出现止跌迹象。这不仅符合康波周期，从繁荣到萧条再回升的变化规律，且在时间上也与8到10年的朱格拉周期高度吻合。即在七年的高速发展中，白酒以需求推动库存与售价，直至临界点后进入调整期。然后库存开始积压，经销商为了回笼资金，不得不降价抛售，以致价格倒挂，倒逼产能收缩，步入四到五年的去库存周期。而此时此刻，不仅是第五年的年末，还已步入12月至春节的白酒传统旺季！再加反内卷的大势支撑，以及经济再繁荣的高度共识，这次白酒的机会，自然就是确定性的周期性反转。对此时间终会证明，杂音终是杂音，周期性机会永远值得把握！第二，短线已是散户禁地但同样重要的是，周期性机会亦属趋势的一部分。而我始终强调，要相信趋势力量，别被短线一叶障目！因为对散户来讲，短线已是禁地！而A股未来只有两条路，波段和趋势！若仍想以短线获得长期收益，已是天方夜谭。原因是人的反应与情绪控制力，无法超过量化智能，因其依托算法，能更精准的捕捉短线波动，且无情绪干扰。由此在长期慢牛中，如果散户坚持做短线，那就是找死了。对此长期看我内容的人知道，这句话的背景，是一个真正短线高手的忠告。因此这世上没人能看准所有的短线波动，但趋势却可结合宏观变化与规律，观察量价时空的共振走向。只有看懂趋势，拥抱趋势，坚定不移地看好中国！趋势洪流才能让你乘风而上，拿足时代红利！这点值得每位股民用心思考。点赞关注，就是给我分享的动力！,,,,,0,0,0,2025-12-01 22:51,今日看盘超话,,,,,普通用户,非会员,0
5239177371193598,Qgrbj50vA,5616903802,金河落九天,光模块隔离器紧缺如何看？1、隔离器工作原理与核心部件·隔离器功能与原理：隔离器核心功能为隔离反射光，避免其干扰光源系统（特别是激光器）性能，保护光源并提高系统稳定性。其工作依赖上游核心部件法拉第旋片，该旋片在磁场作用下，使光偏振方向发生非互易性旋转（通常45度）。具体为：入射光通过时偏振方向顺时针偏移45度后通过，反射光反向入射时，因非互易性继续顺时针偏移45度，无法通过。可见，法拉第旋片是实现非互易性旋转的核心部件。2、隔离器产业链结构分析·隔离器供应商格局：全球隔离器供应商以海外厂商为主导。第一大供应商为Coherent（由原26公司与Finisar合并而来），市占率约50%-60%；第二大供应商为日本住友，市占率约20%-30%，其余厂商份额均不高。国内供应商方面，最大的为未上市的昂纳（此前在港股上市后退市），其隔离器收入规模约3亿；其次为东田微，上半年通信业务收入约1亿，其中大部分为隔离器收入。·法拉第旋片产业链分析：法拉第旋片作为隔离器的核心上游环节，其核心供应商与隔离器供应商重合，海外主要为Coherent和住友。当前法拉第旋片供应最紧缺，技术难点集中于芯片级产品的长晶工艺及生产工艺（生产工艺难度更大）。国内法拉第旋片供应商中，成都菲瑞特收入体量最大；厦门森一、福晶科技中，福晶科技为上市公司，其余为非上市公司。整体来看，法拉第旋片及隔离器环节的国产化率均较低。3、光模块隔离器需求测算·不同方案用量差异：800G光模块主流有三种方案，其隔离器用量存在差异。第一种是800GDR8的EML方案，需8个EML激光器，每个激光器配1个隔离器防反射光损坏，共需8颗；第二种是800GDR8的硅光方案，以4个CW光源为主，每个光源后放1颗隔离器，共需4颗；第三种是800GFR8的波分复用方案，8个波长合在一根光纤传输，仅在光纤半路用1颗高性能隔离器。未用波分复用的方案（DR8EML、硅光），隔离器用量与激光器或光源数量1:1，波分复用方案（FR8）仅需1颗。·2026年海外需求预测：基于2026年海外光模块隔离器需求测算（未考虑国内及400G光模块），聚焦800G和1.6T光模块。预计2026年海外800G光模块需求约4500万只，1.6T约2500万只（2000万3000万区间）。800G光模块三种方案（EML、硅光、EML波分复用）占比为10%、70%、20%（硅光占比提升），据此算得800G光模块隔离器总需求约2.07亿颗，1.6T约9500万颗，两者合计约3亿颗。此外，400G光模块若有1000万只（方案占比与800G一致），隔离器用量约为800G的10%（约2000万颗）；国内800G和400G光模块需求或达3000万级别，隔离器用量或约1亿颗。2026年整体隔离器需求可能超4亿颗。4、隔离器产能与价格趋势·产能紧缺原因：当前隔离器产能紧缺受全球主要供应商及国内厂商产能现状影响。全球第一大份额供应商Coherent对外销售谨慎，限制新增需求产能供应。原因一是认为产能紧缺，后续或涨价；二是为保护旗下光模块厂商芬妮萨的竞争优势，优先向其供应。国内厂商菲瑞特产能仅小几千万支，难以满足需求。·价格上涨趋势：自2024年以来，隔离器价格已多轮上涨。产业共识认为，价格将进一步上涨，后续可持续关注。5、法拉第旋片及福晶科技机会·法拉第旋片生产与竞争：法拉第旋片是隔离器的核心元件，由紫光晶体制成，其生产流程为在铂金干锅中使用FGGG晶片，通过液相外延方式生长wafer，切割为11×11方片后进一步加工为隔离器用小片。全球竞争格局方面，Pioneer在全球占主导地位，住友、森一、成都菲瑞特为主要成熟供应商。Coherent因份额较高，通过控制出货保障自身光模块竞争优势，国内异业公司如旭创、新易盛通过投资以保障供应链安全。上游SGGD晶片主要依赖法国Lexum采购，仅日本部分自制，多数未实现全产业链生产。当前光模块需求增长迅速，400G及其他领域需求超测算，导致法拉第旋片价格已涨多轮，2026年800G、400G、1.6T需求高增或进一步加剧供应紧缺。·福晶科技竞争优势：福晶科技在法拉第旋片领域具备多项竞争优势。其一，公司通过环评公告披露建设SGGD芯片与法拉第旋片生产线，SGGD晶片为自主生产，在FCE晶片涨价背景下成本优势显著。其二，公司多年前已启动法拉第旋片项目，目前正与国内主要隔离器厂商及下游光模块厂商积极沟通送样验证，持续改善产品性能，未来一两个季度或在供应紧缺背景下实现放量，且因上游材料自主，放量后扩展能力较强。其三，2025年四五月份后中美关税博弈及国内稀土管控趋势下，含稀土元素的法拉第旋片供应链稳定性更受重视，福晶在此方面具备优势。此外，福晶在光通信其他领域进展迅速：反三义晶体在OCS交换机MEMS、液晶方案中用量大，全球竞争力突出，行业内部分团队人才源于福晶；非线性晶体与激光晶体受益于光通信光学元件及PCB超快激光器需求增长，公司2025年Q3收入及利润增速超50%，主业逐季提速，近期正围绕晶体需求积极扩产。,,,,,0,0,0,2025-12-01 22:51,微博网页版,,,,,普通用户,非会员,0
5239177328460879,Qgrbezv3N,1272614211,Athena佳佳,田中美奈实超话【#田中みな実#】,,,,田中みな実,0,1,6,2025-12-01 22:51,田中美奈实超话,"https://wx2.sinaimg.cn/large/4bda8d43gy1i7vsbcsg6fj20xc11i1ar.jpg,https://wx3.sinaimg.cn/large/4bda8d43gy1i7vsbd1my7j20xc11ih74.jpg,https://wx3.sinaimg.cn/large/4bda8d43gy1i7vsbcnsgsj20xc11ik6z.jpg,https://wx3.sinaimg.cn/large/4bda8d43gy1i7vsbcrdp8j20xc0xc189.jpg,https://wx3.sinaimg.cn/large/4bda8d43gy1i7vsl4n47fj20h80h8q85.jpg,https://wx1.sinaimg.cn/large/4bda8d43gy1i7vsl6dynqj20h80b1tgl.jpg,https://wx1.sinaimg.cn/large/4bda8d43gy1i7wh62piquj20h80jeqae.jpg,https://wx1.sinaimg.cn/large/4bda8d43gy1i7wh62pr3zj20h80oqdqv.jpg,https://wx1.sinaimg.cn/large/4bda8d43gy1i7wh62pqkmj20h80ojqcu.jpg",,,,黄V,会员,7
5239177258206707,Qgrb7yqWf,3738618623,芳姐聊财经,夜深了！科技和消费到底能不能同时上涨！直接关乎我们在跨年行情能否赚到大钱！因此下面分享观点后，再给大家两大提醒！下午收盘我提出，长期主线依然是科技，但消费机会却越来越大！这点目光短浅者不可预见，用技术和短线来看消费也弱爆了。因为消费机会来自宏观，即在目前经济转型下，想要有质的变化，仅依托科技单吊未来，不现实。所以现在讲究一个内循环，核心动能就是消费。这点在此前公布的五年方向中也很清晰，只是优化居民收入与保障，各方面促进整体消费需要时间罢了。但股市玩的就是预期！所以从宏观视角来看，消费的长牛趋势起点，不排除会从今年跨年到春节行情中展开！而这正是我此前预告的退出或降仓节点。因为这波消费机会，我锁定的是白酒估值修复，而不是如今年科技这般拿到所有增长红利。毕竟资金有限下，鱼和熊掌不可兼得，且在长期价值投资上，我也早已选定了方向：比如6月16日下午追踪的证券。7月14日下午追踪的半导体。还有最后在9月5日上午开盘追踪的光伏。这三个行业，才是我主抓时代红利的核心战场！其中半导体和光伏都是科技，属进攻性布局。证券即金融领域的防御性布局。至于白酒，更多是消费复苏下的预期性波段机会！也因此我目前持仓结构是：10月29日布局，后在11月27日加仓的白酒，独占5成。剩余5成其他仨行业均分。主打在有限的可支配仓位下，趋势与波段一手抓！以此再在后面，反过来强化长期价值投资的仓位。也就是说，就去我在下午收盘表达的那样，我认为科技与消费，会在这次跨年行情共振上涨！所以问题来了，哪来的量能支撑科技与消费同步上涨？这是一些自以为专业的人，一定会想到的问题。我且不说今年量能远超去年，就量能本身也根本不是问题！因为近三年的经济转型期，已消化了很大一部分重资产龙头的危机，不仅会持续倒逼储蓄资产向A股转移，更打消了内外资金的入市顾虑。在此背景下，中美利差倒挂趋势也愈发明显，配合A股优化到成熟的机制变化，存量博弈转向增量入市的时代拐点，就在眼前！因此如果用心感悟，会发现今年资金面已非是纯粹的此消彼长，而是积极寻找更多确定性机会，否则今年至今不可能放出大量。而且主力和机构也在此前的调整中，充分实现了调仓换股，同样给后市的共振上攻打下了前期基础！重要的是，科技与消费同时上涨，也从来不是新鲜事。有的是不如今年量能，但却连续共涨的情形。何况当前市场不仅有较强的信心韧性，还有明显的增量态势，足以支撑前所未有的双主线齐飞！但这种情况更可能会在明年频出，而出在今年的时间节点，大概率就在跨年到春节期间的行情之中。最后结合前文，更能理解最后给大家的两大提醒：第一，白酒的核心逻辑这次抓白酒的逻辑不是业绩，更非未来发展，而是周期！因为白酒经历七年的高速发展，又有度过四年的有效调整，直到今年才出现止跌迹象。这不仅符合康波周期，从繁荣到萧条再回升的变化规律，且在时间上也与8到10年的朱格拉周期高度吻合。即在七年的高速发展中，白酒以需求推动库存与售价，直至临界点后进入调整期。然后库存开始积压，经销商为了回笼资金，不得不降价抛售，以致价格倒挂，倒逼产能收缩，步入四到五年的去库存周期。而此时此刻，不仅是第五年的年末，还已步入12月至春节的白酒传统旺季！再加反内卷的大势支撑，以及经济再繁荣的高度共识，这次白酒的机会，自然就是确定性的周期性反转。对此时间终会证明，杂音终是杂音，周期性机会永远值得把握！第二，短线已是散户禁地但同样重要的是，周期性机会亦属趋势的一部分。而我始终强调，要相信趋势力量，别被短线一叶障目！因为对散户来讲，短线已是禁地！而A股未来只有两条路，波段和趋势！若仍想以短线获得长期收益，已是天方夜谭。原因是人的反应与情绪控制力，无法超过量化智能，因其依托算法，能更精准的捕捉短线波动，且无情绪干扰。由此在长期慢牛中，如果散户坚持做短线，那就是找死了。对此长期看我内容的人知道，这句话的背景，是一个真正短线高手的忠告。因此这世上没人能看准所有的短线波动，但趋势却可结合宏观变化与规律，观察量价时空的共振走向。只有看懂趋势，拥抱趋势，坚定不移地看好中国！趋势洪流才能让你乘风而上，拿足时代红利！这点值得每位股民用心思考。点赞关注，就是给我分享的动力！,,,,,0,8,13,2025-12-01 22:51,iPhone 11,,,,,红V,超级会员,1
5239177063177237,QgraOdkxL,6440423300,小橘子寻牛,夜深了！科技和消费到底能不能同时上涨！直接关乎我们在跨年行情能否赚到大钱！因此下面分享观点后，再给大家两大提醒！下午收盘我提出，长期主线依然是科技，但消费机会却越来越大！这点目光短浅者不可预见，用技术和短线来看消费也弱爆了。因为消费机会来自宏观，即在目前经济转型下，想要有质的变化，仅依托科技单吊未来，不现实。所以现在讲究一个内循环，核心动能就是消费。这点在此前公布的五年方向中也很清晰，只是优化居民收入与保障，各方面促进整体消费需要时间罢了。但股市玩的就是预期！所以从宏观视角来看，消费的长牛趋势起点，不排除会从今年跨年到春节行情中展开！而这正是我此前预告的退出或降仓节点。因为这波消费机会，我锁定的是白酒估值修复，而不是如今年科技这般拿到所有增长红利。毕竟资金有限下，鱼和熊掌不可兼得，且在长期价值投资上，我也早已选定了方向：比如6月16日下午追踪的证券。7月14日下午追踪的半导体。还有最后在9月5日上午开盘追踪的光伏。这三个行业，才是我主抓时代红利的核心战场！其中半导体和光伏都是科技，属进攻性布局。证券即金融领域的防御性布局。至于白酒，更多是消费复苏下的预期性波段机会！也因此我目前持仓结构是：10月29日布局，后在11月27日加仓的白酒，独占5成。剩余5成其他仨行业均分。主打在有限的可支配仓位下，趋势与波段一手抓！以此再在后面，反过来强化长期价值投资的仓位。也就是说，就去我在下午收盘表达的那样，我认为科技与消费，会在这次跨年行情共振上涨！所以问题来了，哪来的量能支撑科技与消费同步上涨？这是一些自以为专业的人，一定会想到的问题。我且不说今年量能远超去年，就量能本身也根本不是问题！因为近三年的经济转型期，已消化了很大一部分重资产龙头的危机，不仅会持续倒逼储蓄资产向A股转移，更打消了内外资金的入市顾虑。在此背景下，中美利差倒挂趋势也愈发明显，配合A股优化到成熟的机制变化，存量博弈转向增量入市的时代拐点，就在眼前！因此如果用心感悟，会发现今年资金面已非是纯粹的此消彼长，而是积极寻找更多确定性机会，否则今年至今不可能放出大量。而且主力和机构也在此前的调整中，充分实现了调仓换股，同样给后市的共振上攻打下了前期基础！重要的是，科技与消费同时上涨，也从来不是新鲜事。有的是不如今年量能，但却连续共涨的情形。何况当前市场不仅有较强的信心韧性，还有明显的增量态势，足以支撑前所未有的双主线齐飞！但这种情况更可能会在明年频出，而出在今年的时间节点，大概率就在跨年到春节期间的行情之中。最后结合前文，更能理解最后给大家的两大提醒：第一，白酒的核心逻辑这次抓白酒的逻辑不是业绩，更非未来发展，而是周期！因为白酒经历七年的高速发展，又有度过四年的有效调整，直到今年才出现止跌迹象。这不仅符合康波周期，从繁荣到萧条再回升的变化规律，且在时间上也与8到10年的朱格拉周期高度吻合。即在七年的高速发展中，白酒以需求推动库存与售价，直至临界点后进入调整期。然后库存开始积压，经销商为了回笼资金，不得不降价抛售，以致价格倒挂，倒逼产能收缩，步入四到五年的去库存周期。而此时此刻，不仅是第五年的年末，还已步入12月至春节的白酒传统旺季！再加反内卷的大势支撑，以及经济再繁荣的高度共识，这次白酒的机会，自然就是确定性的周期性反转。对此时间终会证明，杂音终是杂音，周期性机会永远值得把握！第二，短线已是散户禁地但同样重要的是，周期性机会亦属趋势的一部分。而我始终强调，要相信趋势力量，别被短线一叶障目！因为对散户来讲，短线已是禁地！而A股未来只有两条路，波段和趋势！若仍想以短线获得长期收益，已是天方夜谭。原因是人的反应与情绪控制力，无法超过量化智能，因其依托算法，能更精准的捕捉短线波动，且无情绪干扰。由此在长期慢牛中，如果散户坚持做短线，那就是找死了。对此长期看我内容的人知道，这句话的背景，是一个真正短线高手的忠告。因此这世上没人能看准所有的短线波动，但趋势却可结合宏观变化与规律，观察量价时空的共振走向。只有看懂趋势，拥抱趋势，坚定不移地看好中国！趋势洪流才能让你乘风而上，拿足时代红利！这点值得每位股民用心思考。点赞关注，就是给我分享的动力！,,,,,0,4,4,2025-12-01 22:50,iPhone客户端,,,,,黄V,非会员,0
5239177038793544,QgraLATBm,6557382997,流云mn,川普选在上周敏感时期打电话，首先应该是想确保不久前的中美经贸协定能顺利进行，不被日方言论影响，这直接关联他明年的中期选举。另外，在调解俄乌期间，也希望能得到中方支持，他对调解俄乌的意愿很强。日方虽然在美给他打电话后仍未撤回言论，但失去美的明确支持，现阶段军事冒险的可能性很低，大概会停留在舆论层面。日的最终目的是想突破战后国际秩序的压制，它的方法可以通过占争，但风险很大，需要别国支持。另一种方法就是在舆论上强硬，配合美国，充当亚太棋子，这也能很大程度提升它的国际地位。虽然目前美表明与中合作是首要的，但是一直保留着战略空间，哪一天美认为在台问题上遏制中方更重要，就随时可以转向。,,,,,0,0,0,2025-12-01 22:50,Android,,,,,普通用户,非会员,0
5239177034866833,QgraLkq5j,5412458162,宝哥画金融,【国泰海通：中国资本市场处于大发展的周期股指向上还有很大空间】财联社12月1日电，国泰海通发布研报称，中国资本市场处于大发展的周期，股指向上还有很大空间。过去造成股市估值折价的因素已消解（担忧中美冲突/经济能见度下降/资产负债收缩），2025年以来对外更自信/对内更稳定、尾部风险下降/人民币资产逐步企稳，意味着中国资本市场处于估值回升和大发展的周期，行情还有较大空间。美股AI波动与Google创出新高更似AI结构切换而非走势终结，中国也将在12-2月迎来政策、流动性、基本面的共振期，市场调整后组合上逐步增加进攻性。看好：1）科技成长：AI模型进展加快，应用加快推进，国内算力基础设施短缺。推荐：港股互联网/传媒/计算机/算力，以及制造业出海：电力设备/机械设备。2）大金融：资本市场改革纵深有望重振风偏，银行中期分红提前，12月风格或攻守易势，推荐：券商/保险。3）消费：调整三年后，估值与持仓处于低位，宏观尾部风险降低与潜在增量政策，结构性机会将出现，推荐低股价、低库存、动销好转的消费股：食品/饮料/农林牧渔/酒店/免税等。#资本市场##中国股市#中国股市超话#中国经济##a股#,,,,"资本市场,中国股市,中国经济,a股",0,0,1,2025-12-01 22:50,财联社APP,https://wx3.sinaimg.cn/large/005Ui7Cily1i7vsa45iy5j30ku0c80t9.jpg,,,,普通用户,非会员,0
5239176698006131,QgradxAL9,1196944042,当天笑1986,我实在是喜欢这幅晒娃场景，武汉温度让人感动#城中美##许我耀眼许我爱#L当天笑1986的微博视频,,,,"城中美,许我耀眼许我爱",0,0,1,2025-12-01 22:48,微博视频号,,"http://f.video.weibocdn.com/o0/tct98sILlx08tpSBGspq010412003dVR0E010.mp4?label=mp4_720p&template=1248x704.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765129980&ssig=dqSHrqhrOl&KID=unistore,video",,,普通用户,会员,3
5239176305050329,Qgr9AlbOV,7876146560,纯白恋妤,"#科技博主出万元奖金实测AI虚拟盘炒股#万元奖金实测AI虚拟盘炒股！中美顶尖大模型同台PK，是Qwen的激进杠杆制胜，还是DeepSeek的稳健组合领跑？全程无人工干预，实时追踪收益曲线，揭露AI""幻觉""与精准预判的双面性。到底是散户投资神器，还是玄学炒作？锁定实测直播，见证AI炒股真相，万元大奖花落谁家，一起蹲守最终答案！",,,,科技博主出万元奖金实测AI虚拟盘炒股,0,0,1,2025-12-01 22:47,,,,,,金V,超级会员,1
