id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239194372800954,QgrCJbKEG,7782884695,南归孤夷,郭正亮：这次日本高市早苗惹的祸可大了，中国大陆已经把法律拉到联合国的高度，大陆真要启动敌国条款打日本，美国不好去介入的#高市早苗被爆花8384万日元仍惨败##热点现场#L南归孤夷的微博视频,,,,"高市早苗被爆花8384万日元仍惨败,热点现场",3,5,68,2025-12-01 23:59,微博视频号,,"http://f.video.weibocdn.com/o0/Nrl6on6llx08tpVCfRcY01041200FYNK0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765127360&ssig=Re9AQtujj1&KID=unistore,video",,,金V,超级会员,3
5239194046962339,QgrCctddN,6993823294,品茶说酒,万事俱备，最后一常收到通知，日本空前孤立，中国反而不急着出手！安理会最后一常也收到通知，这意味着什么呢？日本空前孤立，中国为何反而不急着出手呢？就当前中日体量对比而言，日本挑衅中国忍耐底线，纯粹就是在“找死”！中国对日具备的优势，除了在经济和军事等领域外，在国际上的影响力优势，也足够让日本喝一壶了。因此，在中日爆发外交“大战”之后，中方多管齐下，在国际舞台上发起全面攻势，对日本实施前所未有的外交围堵。结果是：万事俱备，最后一常也收到通知，这是怎么回事呢？随着俄、美、法三国先后以不同形式同我方就红线问题达成沟通共识，在联合国五常里面，怎么能少得了英国的“这一票”呢？在其他五常国家均已就中方核心问题，以及二战后国际秩序核心原则做出明确表态之后，对英国来讲，这就是一道必答题。11月28号晚，中央外办主任王毅在北京会见英国首相国家安全事务顾问鲍威尔，期间，王毅阐述了中方在涉日问题立场，希望英方继续恪守一中原则立场，同中方一道捍卫二战胜利成果。对此，鲍威尔则强调，英国工党政府愿发展连贯、持久、战略性的对华关系。鲍威尔的表态，其实也是西方在涉台问题“战略模糊”的一贯体现。因为英国对华政策，早就陷入“拧巴”的状态。这个国家一边抱怨中国存在“威胁”，一边又希望中资能继续支持本国基础设施和经济复苏。当然，既然英国有求于中国，那就意味着伦敦不敢在涉台问题上乱来。更何况， 英国本身作为安理会常任理事国，就有责任和义务和中美俄法等国一样，监督日本法西斯，避免日本军国主义死灰复燃的重任。而斯塔默政府一直没有就此做出明确表态，应该还在平衡得失，难以做出决定。所以，王毅部长的有关表态，实际上就是在给英国当一个负责任大国的机会，让他们尽快行动起来，别给联合国安理会五常拖后腿。而且，值得注意的是，英国长期承认台湾等领土属于中国， 所以，鲍威尔有关“愿发展连贯、持久、战略性的对华关系”的表达，实际上就是在承诺英国政府坚持一中政策的态度。很明显，眼看中方开启一系列对日反制之后，联合国安理会其余四常的立场也渐渐明晰起来。因此，在英国做出有关表态之前，俄罗斯、美国，以及法国四国已经就我方核心问题和二战后国际秩序核心原则做出明确表态。俄罗斯在猛批日本拒绝承认历史罪行的同时，还阐明该国在台湾问题上的一贯立场：“俄方一直承认我方领土完整不可分割，反对任何分裂行径”。特朗普近日在主动给中方打电话的时候，中方直接把话说透，表明中美关系的核心问题是战后国际秩序的重要部分，并希望中美应当共同守护二战成果。对此，特朗普表示美方“明白红线问题对中方的重要性”。而即将访华的法国总统马克龙，其态度则以“独立自主”为主色调，也就是“坚持独立自主外交传统，坚定不移奉行中方原则底线，理解中方在核心问题上的正当立场”。就字面来看，美英的有关态度似乎有些模糊，这当然符合他们一贯对华政策基调。但有一点是可以肯定的，他们在中日这一轮外交风波中，虽说没有和俄罗斯那样明确支持中国，但至少他们不会因为与日本的盟友身份而公开支持高市。有关这一点，对中国而言就足够了，至少可以说明一种情况，也就是中国在收拾日本的时候，基本已经没有来自国际的任何政治压力。所以，对中国而言，四常已全部通知到，而日本则已陷入空前孤立状态。高市早苗公然发表挑衅言论，悍然开历史倒车，中国对其展开前所未有的反击，从某种意义上来讲，就是在“为民除害”，避免东亚地区乃至全世界，因军国主义日本的死灰复燃而再次遭受战争的生灵涂炭。联合国安理会五大常任理事国，罕见在中国涉日态度上达成共识，这对其他联合国成员所产生的影响，是不言而喻的。因此，日本在国际上的那些盟友，无论是欧洲、东盟、大洋洲和北美等地区国家，都在这场中日外交风波中理性地保持沉默，让日本在国际社会上陷于孤立状态中。很明显，日本所有盟友在有关问题上的沉默，主要原因除了不想承担破坏战后秩序的罪名外，更重要的是，谁也不想当出头鸟，因为中国的猎枪子弹已上膛，谁敢跳出来支持日本就打谁。现如今，高市政府正面临一场内忧外患的巨大危机。其对华的挑衅非但无法得到盟友的相应，反而招致国内外的一片批评声浪。而对中方而言，这时候恰好是“痛打落水狗”的好机会，然而，中国这时候却反而不急着出手，为啥呢？中方的态度已经讲得非常明白了：高市的有关言论本质上涉及中国的核心利益，日本若要踩着不撤回、不更正的立场来谈，那么中方对日高压政策将持续下去。当然，中方没有如外界所预料的那样，从经济层面上对日本展开更严厉的惩罚，那是因为已经有了制胜日本，并达到有关战略目的的把握。在这一背景下，中方也就无需和美西方国家那样，搞那种歼敌一千自损八百的制裁伎俩。因此，中方近期对日反制措施，更多的只是体现在政治层面上。当前，联合国几个常任理事国的态度已经鲜明，世界其他国家的态度也已十分明确。与此同时，日本国内的反对声浪也越来越大，要求高市下台的呼声也日渐高涨。当前日本高层不但受到了震动，而且面对的压力越来越大。如此看来，接下来一段时期，如果问题依旧得不到妥善解决，或者说，中国继续维持对日高压政策，高市早苗及其内阁很有可能被当成弃子抛掉。#专家建议不要用冲绳称呼琉球群岛##品茶说酒聊军事##三分钟视频助燃计划#L品茶说酒的微博视频,,,,"专家建议不要用冲绳称呼琉球群岛,品茶说酒聊军事,三分钟视频助燃计划",5,15,23,2025-12-01 23:57,微博视频号,,"http://f.video.weibocdn.com/u0/OolSiaZ3gx08tpXrEDKM01041200yosO0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765127360&ssig=DtIsGw%2BdOe&KID=unistore,video",,,金V,超级会员,2
5239192451810069,QgrzD7ASF,5348010330,-纯纯鱼冻ovo,#日本国宝级歌手喊话高市爽快一点#81岁的日本国宝级歌手加藤登纪子公开喊话首相高市早苗“爽快一点”撤回争议言论，这一罕见举动源于高市涉及台湾问题的国会发言已引发中国激烈反制，使日中关系陷入紧张漩涡。,,,,日本国宝级歌手喊话高市爽快一点,0,0,0,2025-12-01 23:51,所愿皆成真,,,,,红V,超级会员,1
5239192063838673,Qgrz0g6C5,7971541614,心郁色,#德国外长言论引争议##德国外长言论引争议#德国外长瓦德富尔涉台及对华不当言论，本质是干涉中国内政、炒作“中国威胁论”的政治操弄。台湾问题是中国核心利益，一个中国原则是中德建交根基，将台海问题国际化的企图违背国际法准则。其言论既忽视中德紧密的经贸纽带，也暴露冷战思维与政治投机心态。国家主权不容置喙，任何挑衅行径只会损害双边互信，唯有相互尊重、平等对话，才能让合作行稳致远。,,,,德国外长言论引争议,0,0,0,2025-12-01 23:49,,,,,,红V,超级会员,1
5239191731706104,Qgryt79PO,7569488087,你ins猫岛吗,#日本国宝级歌手喊话高市爽快一点#81岁的日本国宝级歌手加藤登纪子公开喊话首相高市早苗“爽快一点”撤回争议言论，这一罕见举动源于高市涉及台湾问题的国会发言已引发中国激烈反制，使日中关系陷入紧张漩涡。,,,,日本国宝级歌手喊话高市爽快一点,0,0,0,2025-12-01 23:48,iPhone 16 Pro,,,,,黄V,会员,6
5239191341893934,QgrxQ7WHk,2812129277,紫金山上听风吟,#中日外交局势#中日关系紧张，日本会不会偷袭中国？石破茂举例回应，态度很悲观L紫金山上听风吟的微博视频,,,,中日外交局势,0,0,0,2025-12-01 23:46,微博视频号,,"http://f.video.weibocdn.com/o0/MSzWa840lx08tpWI3GJG01041201zgYy0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765127360&ssig=R01MnV1YA8&KID=unistore,video",,,金V,超级会员,2
5239190952346926,Qgrxd9QxE,7634433938,小狗困乎乎o8,#日本国宝级歌手喊话高市爽快一点#日本国宝级歌手加藤登纪子公开呼吁首相高市早苗撤回争议言论，因其涉及台湾问题引发中国强烈反对，导致中日关系紧张。加藤在电视节目中表示希望高市调整立场，促进中日关系稳定。此举在日本社会引发广泛讨论，公众关注其对地区稳定的积极意义。截至12月1日，高市尚未回应加藤的呼吁，事件未来走向受到关注。,,,,日本国宝级歌手喊话高市爽快一点,0,0,0,2025-12-01 23:45,Android,,,,,黄V,非会员,0
5239190593733307,QgrwDfFcD,1393202693,菜鸟军虫,菜鸟军虫超话转发关注。【#中方敦促日方老老实实收回错误言论#】#在大是大非问题上日本不要妄想蒙混过关#今天，有记者问，日本首相高市早苗此前称，日本已根据“旧金山和约”放弃了全部权利而“无法认定台湾的法律地位”。日本外相茂木敏充28日被问及这是否意味着“日本不承认中国对台湾的主权”时，重复了“旧金山和约”的相关说法，并称日本政府对台湾的基本立场正如1972年的《中日联合声明》所述，不多也不少。发言人对此有何评论？外交部发言人林剑表示，日方对自身在台湾问题上的立场，一再遮遮掩掩，含糊其词，对将台湾明确归还中国的《开罗宣言》《波茨坦公告》《日本投降书》避而不谈；对构成中日关系政治基础4个政治文件避而不谈；对日本政府坚持一个中国原则的政治承诺避而不谈。反复以所谓“立场未变”敷衍搪塞。连完整重申日方的立场，都无法做到。日方避而不谈的，恐怕不仅仅是在台湾问题上的立场。今天是《开罗宣言》发表82周年，《开罗宣言》等一系列国际法律文件不仅明确了中国对台湾的主权，更是世界反法西斯战争的重大成果，构成战后国际秩序重要组成部分。遵守其有关规定是日方必须承担的国际法义务，也是战后日本重获国际社会接纳的前提，现在日方只字不提具有充分国际法效力的上述文件，却一味引用一个把受日本殖民侵略最严重的亚洲邻国，特别是中国排斥在外的文件，这是对日本军国主义侵略惨痛记忆的漠视，对世界反法西斯战争历史真相亵渎，对联合国权威和战后国际秩序公然挑战。日方近年来大幅调整安保政策，逐年增加防卫预算，图谋修改“无核三原则”。日本某些势力正极力突破“和平宪法”的束缚，企图违背国际法规定的战败国义务。这些人从未真正汲取历史教训，从未真正直面和反思日本在战争中犯下的滔天罪责，从未真正遏止军国主义在日本死灰复燃，反而企图用美化侵略的叙事和“避而不谈”的手法，让世人遗忘，为自己“松绑”。这种伎俩欺骗不了世人。历史倒车开不得，和平底线碰不得。日本在口头上搪塞敷衍，在行动上一意孤行，中方对此绝不接受。在大是大非问题上，日本不要妄想蒙混过关。我们敦促日方以史为鉴、深刻反省，严肃对待中方要求，老老实实收回错误言论，以实际行动体现对中方的政治承诺。（总台记者申杨）L央视军事的微博视频,,,,"中方敦促日方老老实实收回错误言论,在大是大非问题上日本不要妄想蒙混过关",1,0,0,2025-12-01 23:43,菜鸟军虫超话,,"http://f.video.weibocdn.com/o0/GYaEuf6elx08tpu1OyLe01041200rxrV0E010.mp4?label=mp4_720p&template=864x486.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765127360&ssig=xhf7r%2FTblS&KID=unistore,video",,,黄V,会员,7
5239190469478022,QgrwqDLFk,1288429914,今视频长天新闻,#日本已有组织计划弹劾高市早苗#【#日本学者说高市支持率不是民意#】“一带一路”日本研究中心研究员青山英明12月1日接受北京日报客户端记者采访时说，日本首相高市早苗在涉及中国底线的中国台湾问题上如此轻率地做出近乎“战争预告”的发言，是对外交礼仪的践踏，其行为足以构成辞职的理由。青山说，日本国内对高市的恶劣言论多有谴责，多达345万人联名抗议，知识阶层展开唇征笔伐，民众在首相官邸前要求其谢罪的示威活动仍在继续。“继承和发展村山谈话会”计划于12月8日在众议院会馆举办新闻发布会，以全体会员名义公开弹劾高市。这是日本学界和民众态度的真实写照。尽管如此，高市的支持率为何仍居于70%以上的高位？青山介绍，高市的经济政策为她获得了青年群体中极高的支持率，但年轻人还不能预见高市冒进经济政策潜在的恶劣影响；日本传统媒体往往被海外资本控制，按照指示行事，其报道和民调不能与真实民意挂钩。（北京日报）#高市早苗被爆花8384万日元仍惨败#O日本青年学者青山英明：高市“高支持率”不能与真实民意挂钩,,,,"日本已有组织计划弹劾高市早苗,日本学者说高市支持率不是民意,高市早苗被爆花8384万日元仍惨败",1,0,0,2025-12-01 23:43,,,,,,普通用户,会员,4
5239188165494704,QgrsIn3qg,7739596522,o_等着寿司吧,#日本国宝级歌手喊话高市爽快一点#81岁的日本国宝级歌手加藤登纪子在电视节目中公开表态，希望首相高市早苗能够“爽快一点”处理涉及台湾问题的相关言论，并表达对地区局势的关注。,,,,日本国宝级歌手喊话高市爽快一点,0,0,0,2025-12-01 23:34,薇薇妞妞的iPhone 15,,,,,红V,会员,4
