id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5239179388914632,QgreyBp6o,3307231905,仰望弗洛伊德,日专家媒体访谈：高市言论与历任首相有何不同？此次中日遇冷的真因是什么？中时超话#热点解读##全网热点共创计划#台海局势超话#台湾##高市鼓吹台湾地位未定论##高市早苗被爆花8384万日元仍惨败##日本国宝级歌手喊话高市爽快一点#L仰望弗洛伊德的微博视频,,厦门,,"热点解读,全网热点共创计划,台湾,高市鼓吹台湾地位未定论,高市早苗被爆花8384万日元仍惨败,日本国宝级歌手喊话高市爽快一点",5,1,5,2025-12-01 22:59,微博视频号,,"http://f.video.weibocdn.com/o0/6By7L0smlx08tpTtPayQ01041201PoW90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765161351&ssig=9pX5eeRroP&KID=unistore,video",,,金V,超级会员,2
5239179197814961,QgrefwN1L,6379435287,菌武视界,#高市早苗被爆花8384万日元仍惨败#苑举正：可悲的是，日本的大部分人，还没有意识到高市早苗的言论非常危险#烽火问鼎计划#L菌武视界的微博视频,,,,"高市早苗被爆花8384万日元仍惨败,烽火问鼎计划",2,0,10,2025-12-01 22:58,微博视频号,,"http://f.video.weibocdn.com/o0/qayEXlR8lx08tpTm8IXS01041200k5Jb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765161351&ssig=hgD5mHwFve&KID=unistore,video",,,金V,超级会员,2
5239179128078830,Qgre8xTFI,7260059743,碳烤芝士鱼,#高市早苗被爆花8384万日元仍惨败#针对日本首相高市早苗近期涉台错误言论，斯洛伐克哲学家、翻译家兼汉学家黑山女士表示，国际社会普遍承认一个中国原则，中华人民共和国政府是代表全中国的唯一合法政府，台湾是中国不可分割的一部分。而高市此类言论实质上是军国主义与法西斯思想的复辟，是对二战后国际秩序的公然挑衅,,,,高市早苗被爆花8384万日元仍惨败,0,0,0,2025-12-01 22:58,iPhone 15 Pro(黑色钛金属),,,,,红V,超级会员,1
5239178971318631,QgrdT5x2f,1943154142,中安在线,#专家建议不要用冲绳称呼琉球群岛#【#琉球王国就这样一步步被消失#】近日，日本宣布将在琉球群岛的军用基地部署中程导弹，该基地所在的与那国岛距离中国台湾仅约110公里。这项军事动作让一个名字再次进入公众视线：琉球。琉球王国曾拥有自己的语言、制度与文化，与中国往来密切，也被多国正式承认。然而历经19世纪末日本吞并和二战后托管等操弄，“琉球”逐渐从地图与官方叙事中淡出，取而代之的是被美军基地覆盖的“）中绳”。琉球究竟是如何一步步“被消失”的？当地人又有着怎样的遭遇？《琉球之殇》，带你寻找答案。（CGTN）#中国人民不答应中国军队不答应#下图：“明谕琉球国王敕”原件（资料照片新华社发）,,,,"专家建议不要用冲绳称呼琉球群岛,琉球王国就这样一步步被消失,中国人民不答应中国军队不答应",1,1,3,2025-12-01 22:57,iPhone 15 Pro Max,https://wx2.sinaimg.cn/large/73d22ddely1i7vshyxqkyj20k009a3zp.jpg,,,,普通用户,超级会员,1
5239178784672745,QgrdAjBAR,7831356522,珉知柚叽_虞翊纾,#日本国宝级歌手喊话高市爽快一点#日本81岁国宝级歌手加藤登纪子公开点名首相高市早苗，以积极的态度呼吁其重新考虑涉台言论，传递出和平稳定的诉求，焦点在于化解潜在的地区紧张局势。核心诉求与事件背景加藤登纪子在2025年11月30日东京广播公司“早安周日”节目中，针对首相高市早苗于11月7日在众议院预算委员会发表的言论——将“台湾有事”定性为日本“存亡危机事态”——提出建设性意见。她表示希望首相能明确撤回言论，并鼓励以开放态度推动对话，强调“积极调整立场以促进和谐”。@参考消息23批评焦点与潜在风险加藤指出，高市的言论可能被解读为影响地区稳定，她表达了对潜在紧张局势的关注，并建议日本应追求和平路径以避免风险，这体现了对国家安全的责任感。@台州晚报1国内舆论的分歧显现加藤在发言中提及立宪民主党代表野田佳彦的观点，但表示自己持不同看法，这展示了日本社会在议题上的多元视角，并鼓励理性交流以达成共识。12各方反应与事件关联此次喊话事件受到广泛关注，加藤登纪子作为拥有广泛国民影响力的文化界元老，其公开介入彰显了艺术界对和平的积极贡献，提升了公众对政治责任的正面讨论。@大象新闻12大象新闻,,,"参考消息23,台州晚报1,大象新闻12大象新闻",日本国宝级歌手喊话高市爽快一点,0,0,0,2025-12-01 22:57,金榜题珉iPhone客户端,,,,,红V,超级会员,1
5239178473243352,Qgrd5dBK8,1046343632,王沙骋,#专家建议不要用冲绳称呼琉球群岛#闻一多先生在其《七子之歌·台湾》写的很清楚了：“琉球是我的群弟，我就是台湾。”1943年《开罗宣言》和1945年《波茨坦公告》明确规定，日本主权仅限于本州、北海道、九州、四国及盟国确定的小岛，琉球群岛不在此列。#校园V计划##带你涨知识#,,,,"专家建议不要用冲绳称呼琉球群岛,校园V计划,带你涨知识",4,6,86,2025-12-01 22:55,,"https://wx3.sinaimg.cn/large/3e5defd0gy1i7vsfersa3j21p30u07bd.jpg,https://wx1.sinaimg.cn/large/3e5defd0gy1i7vsffgjpnj21e80u0dmu.jpg,https://wx2.sinaimg.cn/large/3e5defd0gy1i7vsfe4x6nj219o0u0n5s.jpg",,,,红V,超级会员,1
5239178155529158,QgrczncnY,1496842924,杜建君-深远顾问,#【深览天下】#必须斩断日本军国主义这棵残害亚洲和中国人民的“毒苗”！而背后的毒手更是美国的军工复合体等利益集团，他们不但是俄乌战争的推手和牟利者，更是怂恿日本极右翼分子复活军国主义的又一推动者，推高台湾海峡地区的紧张度，威逼利诱“台独”分子加大军费预算，不断购买美国军火，现在，又在日本复制粘贴这一恶毒举措，是日本高氏毒苗之流紧随美国政策指挥棒，加紧武装日本自卫队的进攻能力，提前追加国防预算（为讨特朗普欢心），怂恿极右翼分子挑战中国台湾主权，美日政客两面三刀，搞着“双簧”表演，司马昭之心路人皆知！,,,,【深览天下】,0,0,3,2025-12-01 22:54,微博网页版,https://wx2.sinaimg.cn/large/593802acgy1i7vs077w4kj20r70xk19a.jpg,,,,黄V,会员,6
5239178086582917,QgrcsrCw5,7626666925,温温炡气机,#日本国宝级歌手喊话高市爽快一点#日本81岁国宝级歌手加藤登纪子公开点名首相高市早苗，以积极的态度呼吁其重新考虑涉台言论，传递出和平稳定的诉求，焦点在于化解潜在的地区紧张局势。核心诉求与事件背景加藤登纪子在2025年11月30日东京广播公司“早安周日”节目中，针对首相高市早苗于11月7日在众议院预算委员会发表的言论——将“台湾有事”定性为日本“存亡危机事态”——提出建设性意见。她表示希望首相能明确撤回言论，并鼓励以开放态度推动对话，强调“积极调整立场以促进和谐”。批评焦点与潜在风险加藤指出，高市的言论可能被解读为影响地区稳定，她表达了对潜在紧张局势的关注，并建议日本应追求和平路径以避免风险，这体现了对国家安全的责任感。国内舆论的分歧显现加藤在发言中提及立宪民主党代表野田佳彦的观点，但表示自己持不同看法，这展示了日本社会在议题上的多元视角，并鼓励理性交流以达成共识。各方反应与事件关联此次喊话事件受到广泛关注，加藤登纪子作为拥有广泛国民影响力的文化界元老，其公开介入彰显了艺术界对和平的积极贡献，提升了公众对政治责任的正面讨论。,,,,日本国宝级歌手喊话高市爽快一点,1,13,90,2025-12-01 22:54,三星 Galaxy Z Flip4,https://wx2.sinaimg.cn/large/008k8IsRgy1i7vsekfljej30u021c7d7.jpg,,,,红V,超级会员,1
5239177719578776,QgrbREbSo,1782370260,韦观Leo,社会镜头：沈逸：中国现在下一步准备怎么收拾日本！听听沈逸教授咋说！#微博兴趣创作计划##微博热点优质创作计划##全网热点共创计划##中长视频流量扶持计划##三分视频助燃计划#L韦观Leo的微博视频,,,,"微博兴趣创作计划,微博热点优质创作计划,全网热点共创计划,中长视频流量扶持计划,三分视频助燃计划",3,1,12,2025-12-01 22:52,微博视频号,,"http://f.video.weibocdn.com/u0/pV4SkpnSgx08tpT1IP2E01041201gn2D0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765161351&ssig=TsQDZvWhGr&KID=unistore,video",,,金V,超级会员,2
5239177391113891,Qgrbl4FLZ,7971232047,绪德看世界,两岸开战，台湾会怎么样？赵少康难得请了个正常的军事专家，结果把自己整得不正常了自信点，最好能把你大漂亮爷爷和小日子爹一起请到台湾海峡来喝茶，这样把4050年代记的账一起结算一下我先报名预备役，准备参战L绪德看世界的微博视频,,,,,1,0,2,2025-12-01 22:51,微博视频号,,"http://f.video.weibocdn.com/o0/NqaM5isilx08tpSRZ13O01041200rLML0E010.mp4?label=mp4_720p&template=886x652.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1765161351&ssig=0F9raJDoXg&KID=unistore,video",,,红V,超级会员,2
