date,label,text_processed
2025-11-24 23:03:34,China Japan Taiwan,president_donald trump_agree visit_beijing april_invite chinese president_xi jinping_state visit_later next_follow phone_call leader_trump xi_meet nearly_month ago_south korea_discuss range_issue include_trade russia_invasion ukraine_fentanyl taiwan accord president_chinas foreign_ministry relationship_china extremely_strong trump_write truth_social post china state_agency release_statement country keep_momentum keep_move forward_right direction_basis equality_respect mutual_benefit leader_meet busan_south korea_october agree_truce tariff_decide cut_tariff half_aim decrease_flow fentanyl_tariff remain chinese good_average since_chinaus relationship_generally maintain_steady positive_trajectory welcome_country broad_international community chinese statement_pull back_threat additional_tariff chinese good china_delay plan_introduce late_round rare_earth export_control white_house press_secretary karoline_leavitt monday_call xi_last hour_focus trade_pleased weve_see chinese_feel way_addition discuss_trade xi_trump broach_topic russias_invasion ukraine_taiwan xi_trump taiwans_return china_essential chinas_vision postwar_international order china japan_ally longstanding_strategic ambiguity_sovereignty selfgoverned_taiwan earlier_month japanese_prime minister_sanae takaichi_chinese attack_taiwan force_japanese military_response trump_however mention_taiwan truth_social post_call ambassador_japan george_glass previously_back tokyo_wake china_coercion
2025-11-23 23:11:13,China Japan Taiwan,island_hokkaido long_agricultural powerhouse_japan invest_billion turn_global hub_advanced semiconductor_half japan_dairy produce_come hokkaido_northernmost main_island winter_wonderland ski_resort icesculpture_festival summer_field bloom_band lavender_poppy sunflower_day crane_pop across_island build_factory research_centre university_focus technology part japan_boldest industrial_push generation_attempt reboot_country chipmaking_capability reshape_economic future_local beyond_cattle tourism_hokkaido long_lack industry_even go leave government_succeed turn_hokkaido japan_answer silicon_valley hokkaido_valley begin_call country_become contender_bn bn_race supply world_computer chip_heart plan_rapidus littleknown_company back government japan big_corporation include_toyota softbank_sony bear_partnership ibm_raise billion_dollar build japan first_cuttingedge chip_foundry decade government_invest bn company build_massive semiconductor_factory fab_small city_chitose select_hokkaido location_rapidus ceo_atsuyoshi koike_point chitoses_water electricity_infrastructure natural_beauty koike_oversee fab_design completely_cover grass_harmonise hokkaidos_landscape local_authority flag_region low_risk earthquake_compare potential_site japan_key milestone_rapidus come_delivery extreme_ultraviolet lithography_euv system_dutch company_asml hightech_machinery help_bring rapidus_big accomplishment_yet earlier_successful production_prototype nanometre_nm transistor_ultrathin chip_cut edge_semiconductor technology_allow device_run fast_efficiently feat_rival chip_maker tsmc_samsung accomplish_intel pursue_nm leapfrog_nm straight_nm succeed_manufacture nm_prototype first japan_unprecedented speed_japan globally_koike credit_ibm partnership_help achieve_breakthrough tieups_global company_essential acquire_technology need_level chip add_rapidus confident_track mass_produce nm_chip challenge_achieve yield_quality need_survive incredibly_competitive market_area taiwan_south korea_pull ahead_tsmc example_achieve incredible_success mass_production make_highend chip_costly technically_demand asean_macroeconomic research_office highlight_although rapidus_receive government_subsidy consortium_member contribute_fund financing_fall short_expected trillion_yen bn_bn need_start mass_production center_security international_study csis_previously rapidus_experience manufacturing_advanced chip_date indication_able access_actual knowhow_endeavour company_requisite experience_ie tsmc_samsung find_customer may_challenge samsung_tsmc establish_relationship global company buy_chip nevertheless_japans government_pour money chip_industry bn_early large_commitment relative_gross domestic_product gdp_make late_tokyo unveil_bn package_artificial intelligence_ai semiconductor_support rapiduss_expansion plan come_decade decline_forty ago japan make_half world_semiconductor today_produce many_point usjapan_trade tension_turn point_naoyuki yoshino_professor emeritus_keio university_japan lose_technology stake_taiwan south_korea leave_domestic company_weaker unlike_rival japan_fail sustain_subsidy keep_chipmakers competitive_koike mentality_change national government local government_unite support_industry revive_japan broader_economic challenge_loom large_population shrink_number elderly_citizen continue_surge determine_national budget_contribute slow_growth third_budget go social_welfare elderly_squeeze money_available research_education technology_prof yoshino_japan face_severe shortage_semiconductor engineer_estimated come_rapidus partner_hokkaido university_train worker_agree rely_heavily foreigner_public support_worker come country_employment low government_push already_attract major_global player_tsmc produce_nm chip_kumamoto southwestern_island kyushu_significant step_japan even_lag behind_company cuttingedge_production taiwan_expansion transform_local economy_attract supplier_raise wage_lead infrastructure_service development_japan broad_chip revival_strategy appear_follow playbook_establish fab_entire ecosystem_tend follow_tsmc start_build second_plant kyushu_october due_begin production_end beyond_rapidus tsmc_local player_kioxia toshiba_get government back_kioxia expand_fabs yokkaichi_kitakami state_fund toshiba_build ishikawa_meanwhile rohm_officially designate_company provide_critical product_tokyos economic_security framework_american memory_chipmaker micron_receive bn_subsidy japanese_government grow_facility hiroshima_samsung build_research development_facility yokohama_hokkaido see_similar momentum_chipmaking equipment_company asml_tokyo electron_open office_chitose back_rapidus build_production facility_make form_global ecosystem_koike work_together able_produce semiconductor_contribute world_koike rapiduss_key selling_point name_suggest ability_produce custom_chip faster_competitor rather_compete directly_player tsmc_lead world_intel samsung_close behind_edge speed_produce deliver_chip three_four faster_anyone else_speed give_edge global_semiconductor race_koike global_demand chip_surge rise_ai japan_automaker still_recover pandemicera_supply shock_press reliable_domestically regionally_sourced production_across entire_supply chain_raw material_finish chip_secure control_chip manufacturing_see national_security priority_japan elsewhere_recent trade_friction geopolitical_tension china taiwan_raise concern_around risk_rely foreign_supplier wed_provide product_japan product_powerful great_value koike_japans government_invest rapidus_highstakes gamble_revive semiconductor_industry broadly_tech power_analyst may country_best chance_build domestic_ecosystem supply_advanced chip many_manufacturer day_become formidable_challenger global_market
2025-12-05 04:56:16,China US Taiwan,taiwan_block access_popular chinese_social medium_app rednote_xiaohongshu follow_concern online_shopping scam_island criminal_investigation bureau_thursday detect_fraud case_app since last_total loss_worth ntm_local medium_app tiktoklike_platform builtin_shopping feature_taiwans internet_service provider_order block_access app_affect least_three million_domestic user_accord local_contact xiaohongshu_taiwanese authority_comment check_taiwan show_platform longer_accessible user_instead app_display message_state unavailable_due security_restriction app_ban spate_fraud case_fail meet_data security_standard put_user risk_apps operator_local office_respond regulator_request submit_plan improve_cybersecurity measure_taipei quote_taiwan interior_minister xiaohongshu_launch hundred_million user_worldwide especially_popular asia_apps userbase_grow user_america government taiwan_temporary ban_come concern_grow beijing use social_medium cultivate_favourable view china spread_disinformation eventually_return chinese control china rule_use force_achieve goal_xiaohongshu face_pressure chinese_regulator september_call strict_punishment firm_boss
2025-11-10 03:16:42,China US Taiwan,weakened_typhoon fungwong_pass south china_sea expect_head taiwan leave_dead philippine_million philippine_preemptively evacuate_fungwong make_landfall sunday_super typhoon_carry wind_kmh mph_gust kmh_mph hit_aurora province_luzon country_populous island local_gmt weaken_typhoon hour_later fungwong_come day_early storm_kalmaegi leave_nearly dead_philippine authority_less severe_damage expect_though number_community still cut_flood daybreak_wind typhoon_fungwong howl_night die_come see_damage plenty_damage building good_preparation appear_prevent repeat_casualty see_kalmaegi hit_central philippine_last week_countrys meteorological_service earlier_warn destructive_wind high_risk lifethreatening_storm surge_intense typhoon_hundred flight_cancel building_secure resident_lowlying coastal_area urge_move high_ground shelter_central aurora_parent bring_young child_young remember_typhoon haiyan_kill strike_philippine felt_worried strength_typhoon young_child think_jessa zurbano_earlier another_evacuee patry_azul house make_wood flimsy_material live_close sea_didnt feel_safe wind_fungwong brought_strong previous_storm destructive_power quickly_weaken make_landfall death_accord civil_defence office_person drown_another woman_find dead_debris catbalogan_city injure_still many_neighbourhood flood_isolate rest_country road_bridge cut high_water level_aurora official local_medium monday_four town_block power much_main island_luzon filipino_government declare_state calamity_across country_preparation typhoon_fungwong wake_kalmaegi give government_agency power access_emergency fund_fasttrack delivery_essential good service_kalmaegi strong_typhoon leave_least dead_philippine miss_five die_vietnam strong_wind uprooted_tree tear_roof smash_large windows_philippine locate_near area_pacific ocean_tropical weather_system form_vulnerable country world_cyclone tropical_cyclone form_region every_half affect country directly_climate change think increase_number hurricane_typhoon cyclone_worldwide however_warm ocean_couple warmer_atmosphere fuel climate_change potentially_lead high_wind speed_heavier rainfall_great risk_coastal flooding_philippine
2025-12-01 08:17:32,China Japan,abrupt_cancellation several_japanese music_event shanghai_midway song_spark criticism_among fan_call move_rude extreme_maki otsuki_halfway theme_friday light_music go_rush stage_crew member_saturday pop_star ayumi_hamasaki perform_empty seat_stadium organiser_ax concert_shanghai cite_force majeure_spate cancellation_come fester_japanese prime_minister sanae_takaichis remark_taiwan respond_question parliament_last month_takaichi know_vocal critic_china activity_region suggest_tokyo take_military action_beijing attack_taiwan beijing_view selfgoverned_taiwan part_territory rule_use force_reunite side_since lodge_protest rift_affect daily_live country_otsukis management_attribute interruption_performance friday_unavoidable circumstance_performance cancel_particular problem_local staff_kind helpful_write separate_statement monday_decline interview_matter performance_part threeday_music festival_shanghai subsequent_event call_comprehensively take_consideration various_factor accord japan_kyodo news_reach japanese_entertainment company_bandai namco_organiser festival_ask incident_daily medium_conference monday_spokesperson beijing_foreign ministry_reporter suggest_chat chinese_organiser otsukis_fan make_meme compare_shut performance_chinas former_leader hu_jintao communist_party meeting_october meme_go viral_social medium_weekend otsuki_give hu_jintao treatment_social medium_accuse chinese_authority take_away freedom_enjoy culture_attempt sanction_japan whats_point turn_spearhead toward_citizen read_post write_japanese dont_care audience_chinese right_write user china_xlike platform_weibo george_glass united_state ambassador_japan join_conversation online_truly regrettable_cant feel_power music_write post_include link_journey dont_stop believin_makisan dont_stop believinkeep_hold conviction_write however_incident fan_nationalist sentiment_chinese social_medium ask_event allow_first place_give diplomatic_row event_go whole_nation angry_japan weibo_user write_hamasaki shanghai_part asia_tour suddenly_ask friday_cancel concert_pop icon_go ahead_perform empty_seat part_appreciation company chinese_staff large_japanese family_fight tour_write instagram_still strongly_believe entertainment_bridge connect_want side_create bridge_write week_ago chinese_state medium_announce release_least popular_japanese anime_film amid_diplomatic row
2025-11-18 03:46:10,China Japan,release_least popular_japanese film_postpone china_amid dispute_delayed release_include cell_work crayon_shinchan movie_super hot_spicy kasukabe_dancer accord chinese_state medium_cctv cinema_ticket still_available hit_japanese animation_demon slayer_infinity castle_confirm cctv_sale china fall_recently row_deepen takaichi_vocal critic_china activity_region suggest_earlier month_tokyo take_military action_beijing attack_taiwan beijing_view taiwan government_overthrow china_communist revolution_flee breakaway_province must_reunite mainland_film distributor_importer decide_postpone release_reassess overall_outlook japanese_film china_sentiment among_chinese audience_crayon shinchan_movie super_hot spicy_kasukabe dancer_animated comedy_adventure young_boy friend_due release_coming week_cell work see_release postpone_live action_movie base_manga human_blood cell_fight virus_cctv long_film release_delay statecontrolled_medium outlet_demon slayer_infinity castle_face strong_dissatisfaction among_chinese audience_follow takaichis_remark contact_film distributor_include japanese_medium giant_toho takaichi_japanese parliament_november battleship_use force_matter think_constitute survivalthreatening_situation beijing_since urge_citizen avoid_travel japan_student reconsider_study cite_safety risk_investor weigh_impact chinas_response china key_source tourism_japan almost_visitor first_nine month_beijing rule_use force_achieve goal_many taiwanese_consider part_separate nation_although support_keep status_quo taiwan_neither declares_independence china_unites
2025-11-17 06:32:19,China Japan,japanese_stock relate_tourism retail_fell monday_tokyo beijing_remain lock_row taiwan japan_prime minister_sanae takaichi_vocal critic_china military_activity region_suggest month_tokyo take_military action_beijing attack_taiwan share_japanese department_store hit_hard parent_company mitsukoshi_isetan chain_plunge almost_wellknown brand_cosmetic company_shiseido fell_sharply china_consistently rank_among top_source tourist_visit japan_share department_store chain_takashimaya owner_global fashion_chain uniqlo_close low_carrier japan_airline ana_holding share_oriental land_theme park_company run_tokyo disney_resort end_day lower_share price_fall come_dispute beijing_tokyo deepen_recent day_sunday chinese_government urge_citizen reconsider_study japan_cite risk_safety rise_crime target chinese_student already_base japan_closely monitor_security situation_last chinese_student enrol_educational institution_japan accord_japanese government_survey weekend_chinese airline_include china_southern airline_china eastern_airline air china_offer refund_flight japan_takaichi japanese_parliament november_battleship use_force matter_think constitute_survivalthreatening situation_survivalthreatening situation_legal term_japan security_law refer_arm attack_ally present_existential threat_tokyo situation_japan selfdefence_force call_upon respond_threat taiwan_lie km_mile south_close japanese_island kyodo_news agency_poll publish_sunday suggest_japanese public_split whether country_exercise right_selfdefence beijing_attack taiwan chinese japanese_official expect_hold talk_tuesday chief_cabinet secretary_minoru kihara_beijing move_line broad_direction confirm_leader promote_mutually beneficial_stable relationship_eventually part country_rule use_force achieve_many taiwanese_consider part_separate nation_although favour_maintain status_quo taiwan_neither declares_independence china_unites
2025-12-02 07:26:10,China Japan,china japan_coast guard_give different_account confrontation_occur near_group geopolitically_sensitive island_east china_sea china_coast guard_tuesday japanese_fishing vessel_illegally enter_water diaoyu_islands tokyo_call senkaku_islands china claim_territory despite_island administer_japan japan_coast guard_meanwhile intercept_expel chinese_coast guard_ship approach_fishing vessel_confrontation come japan leader make_controversial comment_taiwan last_month respond_question parliament_november japanese_prime minister_sanae takaichi_know vocal_critic china_activity region_suggest tokyo_take military_action beijing_attack taiwan_beijing view_selfgoverned taiwan_part territory_rule use_force reunite_side since_engage increasingly_hostile rhetoric_towards widen_rift affect_daily life_citizen country taiwan_locate km_southwest senkaku_island china_coast guard_ccg spokesperson_liu dejun_chinese vessel_tuesday approach_warn japanese_fishing boat_illegally enter_territorial water china_diaoyu dao_accord state_medium liu_add ccg_take necessary_law enforcement_measure claim_island chinese_territory urge_japan immediately_stop act_infringement provocation_water japan_coast guard_jcg offer_slightly different_account approach_chinese vessel_shortly see_enter japanese_water early_hour tuesday_issue demand_leave water_jcgs patrol_ship ensure_fishing boat_safety ccg_leave territory_hour later_japan china make_inprinciple agreement_jointly exploit_resource east_china sea_waterway separate_country tension_escalate past_decadeandahalf senkakudiaoyu_island uninhabited_china send_increase number_ship towards_island appear_attempt test_japan resolve_defend last number_day chinese_government vessel_spot territory_hit record_high third_consecutive record_number ccg_vessel operate_water prior_event tuesday_morning ccg_last enter_water surround_senkakudiaoyu islands_november conduct_describe lawful_patrol operation_conduct china_coast guard_uphold right_interest
2025-11-18 09:54:37,China Japan,china japan_lock escalating_row set_japanese prime_minister sanae_takaichis suggestion_earlier month japan_respond selfdefence_force china attack_taiwan response chinese_diplomat make comment_interpret threat_behead takaichi_begin war_word go_beyond barb_country foreign_ministry since_lodge serious_protest japan_warn citizen_stay safe china china_urge citizen_avoid travel_japan chinese_airline even_offer refund_flight japan_release popular_japanese film_china postpone_spat touch_historical animosity_china japan well_longstanding strategic_ambiguity sovereignty_selfgoverned taiwan_heres need_know current_tension spark_parliamentary meeting_japan november_opposition lawmaker_ask takaichi_circumstance surround_taiwan count_survivalthreatening situation_japan battleship_use force_matter think_constitute survivalthreatening_situation takaichi_respond survivalthreatening_situation legal_term japan_security law_refer arm_attack ally_pose existential_threat japan_situation japan_selfdefence force_activate respond_threat takaichis_remark draw_immediate ire_beijing chinas_foreign ministry_describe egregious_following day_xue jian_china consul_general japanese_city osaka_reshared news_article takaichis_parliamentary remark_add comment_dirty head_stick must_cut intent_xues remark_may clear_highly inappropriate_aid japan_chief cabinet_secretary minoru_kihara tokyo_lodge protest_china xues_remark beijing_lodge japan_takaichis xues_post since take_dust barbed_exchange hasnt_settle yet_takaichi decline_retract remark_defend consistent_government traditional_position note_however careful_comment specific_scenario meanwhile china turn_heat japan_summon japanese_ambassador repeatedly_demand takaichi_take back_word social_medium chinas_foreign ministry_warn japan_stop playing_fire add_act aggression_japan dare_meddles crossstrait_situation china_urge citizen_avoid travel_japan near_future call_blatantly provocative_remark regard_taiwan deal_blow japan_tourism industry_support million chinese_visitor every_japan tourism_retail stock_part japanese_authority position_support peaceful_resolution issue_taiwan change_urge china take_appropriate action_xues social_medium post_week release_least distributor_cite sentiment_domestic audience_chinese state_medium chinese_state medium_cctv add_cinema ticket_sale hit_japanese animation_demon slayer_infinity castle_fall recently_longstanding animosity_country trace_back series_armed conflict_japan brutal_military campaign_china world_war bring chinese defence_official last_week japan_face crush_defeat chinese military_fail draw_lesson history_dare take_reckless risk_historical grievance_may long_sore spot_bilateral relation_recent ascension_takaichi protg_late former_prime minister_shinzo abe_suggest tension_may lie_ahead conservative_leader pursue_close tie_pledge increase japan defence_spending raise_alarm beijing_takaichi famously_hawkish china_longtime supporter_taiwan previously_blockade island_threaten japan japan_mobilise troop_stop chinese_invasion china especially_touchy taiwan_selfgoverned island_beijing claim_part territory china rule_use force take taiwan_posture unsettle_taipei ally_region earlier_month beijing_accuse takaichi_violate onechina_principle post_photo meet_senior taiwanese_official sideline_apec summit_south korea_japanese prime_minister recent_comment mark_departure equivocal_position country_traditionally adopt_status taiwan_line policy_strategic ambiguity_long maintain_remain vague_defend taiwan_event chinese_invasion decade_ambiguity keep china_guess form_deterrence leave_room economic_tie flourish_japanese government official_stance hop_taiwan issue_resolve peacefully_dialogue japanese_official typically_avoid mentioning_taiwan public_discussion security_occasion meet_sharp rebuke_beijing deputy_prime minister_taro aso_japan need_defend taiwan_alongside event_invasion beijing_condemn remark_japan correct_mistake recent_flareup china foreign_ministry takaichis_remark gross_interference chinas_internal affair_taiwan chinas_taiwan ministry_spokesperson lin_jian press_briefing monday_add china_tolerate foreign_interference matter_signal japanese_leader try_send taiwan_independence separatist_force add japan_challenge china_core interest_stop reunification
2025-11-26 07:30:38,China Japan,detention_pema wangjom_thongdok indian_citizen living_uk shanghai_airport fuel_diplomatic row_delhi beijing_thongdok detain_immigration official_travel london japan_via shanghai_last friday_passport list_birthplace northeastern_state arunachal_pradesh china dispute_indias claim_region considers_arunachal territory_call south_tibet claim india_firmly reject_tuesday india_lodge protest_thongdoks detention_reiterate arunachal_integral inalienable_part india_thongdok call_experience humiliating_contact indian_embassy shanghai_beijing help_release detention_hour indian_official arrive_airport speak_authority indias_foreign ministry_spokesperson randhir_jaiswal call_thongdoks detention_arbitary issue take_strongly china chinese_authority still_able explain_action violation_several convention_govern international_air travel_action violate_regulation allow_visa free_transit hour_national country statement_jaiswals statement come hour_chinas foreign_ministry spokesperson_mao ning_chinas border_inspection authority_carry check_accordance law_regulation law_enforcement impartial_nonabusive lawful_right individual_thongdok fully_protect compulsory_measure take_socalled detaining_harass indias_pti news_agency add_airline china_eastern provide_thongdok rest_facility meal_insist arunachal_chinas territory chinese side_never recognise_socalled arunachal_pradesh illegally_set india state_fall along_km mile_defacto border_himalaya call_line actual_control source_tension asian_neighbour decade china consider_whole arunachal_pradesh territory_india claim_aksai chin_plateau himalaya_control china_troop country_arunachal pradesh_fight take_place even india china work_reestablish tie_clash galwan_valley ladakh_region lead_complete breakdown_tie past_india china take big_step towards_normalise relation_include agree_patrol arrangement_deescalate border_tension august_chinese foreign_minister wang_yi delhi_twoday trip_neighbour thongdoks_detention amidst_friendly overture_raise eyebrow_india make national_headline ani_news agency_live uk_travel shanghai_several earlier_without face_issue however_immigration official_airport single_queue passport_invalid try_question ask_issue arunachal_part india start_mock laugh_thing apply_chinese passport_youre chinese youre_indian add
